TimeSlice	Time	LH_Knee	LH_AnkleZ	LH_HipZ
258	0.04644	-0.0321188	-0.34075	-0.906017
261	0.04698	-0.0323154	-0.341234	-0.906325
264	0.04752	-0.0325124	-0.34171	-0.906609
267	0.04806	-0.0327099	-0.34218	-0.90687
270	0.0486	-0.032908	-0.342644	-0.907109
273	0.04914	-0.0331066	-0.343102	-0.907328
276	0.04968	-0.0333058	-0.343554	-0.907527
279	0.05022	-0.0335057	-0.344002	-0.907708
282	0.05076	-0.0337061	-0.344445	-0.907871
285	0.0513	-0.0339071	-0.344883	-0.908017
288	0.05184	-0.0341089	-0.345317	-0.908148
291	0.05238	-0.0343112	-0.345748	-0.908265
294	0.05292	-0.0345143	-0.346175	-0.908367
297	0.05346	-0.0347181	-0.346599	-0.908456
300	0.054	-0.0349225	-0.34702	-0.908532
303	0.05454	-0.0351277	-0.347438	-0.908596
306	0.05508	-0.0353336	-0.347853	-0.90865
309	0.05562	-0.0355403	-0.348266	-0.908692
312	0.05616	-0.0357477	-0.348677	-0.908725
315	0.0567	-0.0359559	-0.349086	-0.908747
318	0.05724	-0.0361648	-0.349493	-0.908761
321	0.05778	-0.0363746	-0.349898	-0.908766
324	0.05832	-0.0365851	-0.350302	-0.908764
327	0.05886	-0.0367964	-0.350704	-0.908753
330	0.0594	-0.0370085	-0.351105	-0.908735
333	0.05994	-0.0372214	-0.351505	-0.90871
336	0.06048	-0.0374351	-0.351904	-0.908679
339	0.06102	-0.0376496	-0.352303	-0.908641
342	0.06156	-0.0378649	-0.3527	-0.908598
345	0.0621	-0.0380811	-0.353097	-0.908549
348	0.06264	-0.038298	-0.353493	-0.908495
351	0.06318	-0.0385158	-0.353889	-0.908435
354	0.06372	-0.0387345	-0.354284	-0.908371
357	0.06426	-0.0389539	-0.354679	-0.908303
360	0.0648	-0.0391742	-0.355074	-0.90823
363	0.06534	-0.0393954	-0.355469	-0.908153
366	0.06588	-0.0396173	-0.355863	-0.908073
369	0.06642	-0.0398401	-0.356258	-0.907988
372	0.06696	-0.0400638	-0.356652	-0.9079
375	0.0675	-0.0402883	-0.357047	-0.907809
378	0.06804	-0.0405136	-0.357441	-0.907715
381	0.06858	-0.0407398	-0.357836	-0.907618
384	0.06912	-0.0409668	-0.358232	-0.907518
387	0.06966	-0.0411947	-0.358627	-0.907416
390	0.0702	-0.0414234	-0.359023	-0.907311
393	0.07074	-0.0416529	-0.359419	-0.907203
396	0.07128	-0.0418833	-0.359816	-0.907093
399	0.07182	-0.0421145	-0.360213	-0.906981
402	0.07236	-0.0423466	-0.36061	-0.906867
405	0.0729	-0.0425795	-0.361008	-0.906751
408	0.07344	-0.0428133	-0.361406	-0.906634
411	0.07398	-0.0430479	-0.361805	-0.906514
414	0.07452	-0.0432833	-0.362205	-0.906393
417	0.07506	-0.0435196	-0.362605	-0.90627
420	0.0756	-0.0437567	-0.363006	-0.906145
423	0.07614	-0.0439946	-0.363407	-0.90602
426	0.07668	-0.0442334	-0.36381	-0.905892
429	0.07722	-0.044473	-0.364212	-0.905764
432	0.07776	-0.0447134	-0.364616	-0.905634
435	0.0783	-0.0449547	-0.36502	-0.905503
438	0.07884	-0.0451968	-0.365425	-0.905371
441	0.07938	-0.0454397	-0.365831	-0.905237
444	0.07992	-0.0456834	-0.366237	-0.905103
447	0.08046	-0.0459279	-0.366644	-0.904968
450	0.081	-0.0461733	-0.367052	-0.904831
453	0.08154	-0.0464195	-0.367461	-0.904694
456	0.08208	-0.0466665	-0.367871	-0.904556
459	0.08262	-0.0469143	-0.368281	-0.904417
462	0.08316	-0.0471629	-0.368692	-0.904277
465	0.0837	-0.0474123	-0.369104	-0.904137
468	0.08424	-0.0476626	-0.369517	-0.903995
471	0.08478	-0.0479136	-0.369931	-0.903854
474	0.08532	-0.0481654	-0.370345	-0.903711
477	0.08586	-0.048418	-0.37076	-0.903568
480	0.0864	-0.0486715	-0.371177	-0.903424
483	0.08694	-0.0489257	-0.371594	-0.903279
486	0.08748	-0.0491807	-0.372011	-0.903134
489	0.08802	-0.0494365	-0.37243	-0.902988
492	0.08856	-0.049693	-0.37285	-0.902842
495	0.0891	-0.0499504	-0.37327	-0.902695
498	0.08964	-0.0502085	-0.373691	-0.902548
501	0.09018	-0.0504674	-0.374114	-0.9024
504	0.09072	-0.0507271	-0.374537	-0.902252
507	0.09126	-0.0509876	-0.37496	-0.902104
510	0.0918	-0.0512488	-0.375385	-0.901954
513	0.09234	-0.0515108	-0.375811	-0.901805
516	0.09288	-0.0517735	-0.376237	-0.901655
519	0.09342	-0.0520371	-0.376664	-0.901505
522	0.09396	-0.0523013	-0.377093	-0.901354
525	0.0945	-0.0525663	-0.377522	-0.901203
528	0.09504	-0.0528321	-0.377951	-0.901051
531	0.09558	-0.0530986	-0.378382	-0.9009
534	0.09612	-0.0533659	-0.378814	-0.900747
537	0.09666	-0.0536339	-0.379246	-0.900595
540	0.0972	-0.0539027	-0.37968	-0.900442
543	0.09774	-0.0541722	-0.380114	-0.900289
546	0.09828	-0.0544424	-0.380549	-0.900135
549	0.09882	-0.0547133	-0.380984	-0.899982
552	0.09936	-0.054985	-0.381421	-0.899828
555	0.0999	-0.0552574	-0.381859	-0.899673
558	0.10044	-0.0555306	-0.382297	-0.899518
561	0.10098	-0.0558044	-0.382736	-0.899364
564	0.10152	-0.056079	-0.383176	-0.899208
567	0.10206	-0.0563543	-0.383617	-0.899053
570	0.1026	-0.0566302	-0.384059	-0.898897
573	0.10314	-0.0569069	-0.384501	-0.898741
576	0.10368	-0.0571843	-0.384945	-0.898585
579	0.10422	-0.0574624	-0.385389	-0.898428
582	0.10476	-0.0577412	-0.385834	-0.898271
585	0.1053	-0.0580207	-0.386279	-0.898114
588	0.10584	-0.0583009	-0.386726	-0.897957
591	0.10638	-0.0585818	-0.387173	-0.897799
594	0.10692	-0.0588634	-0.387621	-0.897642
597	0.10746	-0.0591456	-0.38807	-0.897484
600	0.108	-0.0594285	-0.38852	-0.897325
603	0.10854	-0.0597121	-0.388971	-0.897167
606	0.10908	-0.0599964	-0.389422	-0.897008
609	0.10962	-0.0602814	-0.389874	-0.896849
612	0.11016	-0.060567	-0.390327	-0.89669
615	0.1107	-0.0608533	-0.390781	-0.896531
618	0.11124	-0.0611402	-0.391235	-0.896371
621	0.11178	-0.0614278	-0.39169	-0.896211
624	0.11232	-0.0617161	-0.392146	-0.896051
627	0.11286	-0.062005	-0.392603	-0.895891
630	0.1134	-0.0622946	-0.39306	-0.89573
633	0.11394	-0.0625848	-0.393518	-0.89557
636	0.11448	-0.0628756	-0.393977	-0.895409
639	0.11502	-0.0631671	-0.394437	-0.895248
642	0.11556	-0.0634592	-0.394897	-0.895086
645	0.1161	-0.063752	-0.395358	-0.894925
648	0.11664	-0.0640454	-0.39582	-0.894763
651	0.11718	-0.0643394	-0.396283	-0.894601
654	0.11772	-0.0646341	-0.396746	-0.894439
657	0.11826	-0.0649293	-0.39721	-0.894277
660	0.1188	-0.0652252	-0.397675	-0.894114
663	0.11934	-0.0655217	-0.39814	-0.893952
666	0.11988	-0.0658188	-0.398606	-0.893789
669	0.12042	-0.0661166	-0.399073	-0.893625
672	0.12096	-0.0664149	-0.39954	-0.893462
675	0.1215	-0.0667138	-0.400008	-0.893299
678	0.12204	-0.0670134	-0.400477	-0.893135
681	0.12258	-0.0673135	-0.400947	-0.892971
684	0.12312	-0.0676142	-0.401417	-0.892807
687	0.12366	-0.0679156	-0.401888	-0.892643
690	0.1242	-0.0682175	-0.402359	-0.892478
693	0.12474	-0.0685199	-0.402831	-0.892313
696	0.12528	-0.068823	-0.403304	-0.892148
699	0.12582	-0.0691267	-0.403778	-0.891983
702	0.12636	-0.0694309	-0.404252	-0.891818
705	0.1269	-0.0697357	-0.404726	-0.891653
708	0.12744	-0.0700411	-0.405202	-0.891487
711	0.12798	-0.070347	-0.405678	-0.891321
714	0.12852	-0.0706535	-0.406154	-0.891155
717	0.12906	-0.0709606	-0.406632	-0.890989
720	0.1296	-0.0712682	-0.407109	-0.890822
723	0.13014	-0.0715764	-0.407588	-0.890656
726	0.13068	-0.0718851	-0.408067	-0.890489
729	0.13122	-0.0721944	-0.408547	-0.890322
732	0.13176	-0.0725042	-0.409027	-0.890155
735	0.1323	-0.0728145	-0.409508	-0.889988
738	0.13284	-0.0731254	-0.409989	-0.88982
741	0.13338	-0.0734369	-0.410471	-0.889652
744	0.13392	-0.0737488	-0.410954	-0.889484
747	0.13446	-0.0740613	-0.411437	-0.889316
750	0.135	-0.0743743	-0.411921	-0.889148
753	0.13554	-0.0746879	-0.412405	-0.888979
756	0.13608	-0.0750019	-0.41289	-0.888811
759	0.13662	-0.0753165	-0.413375	-0.888642
762	0.13716	-0.0756316	-0.413861	-0.888473
765	0.1377	-0.0759472	-0.414347	-0.888303
768	0.13824	-0.0762633	-0.414835	-0.888134
771	0.13878	-0.07658	-0.415322	-0.887964
774	0.13932	-0.0768971	-0.41581	-0.887794
777	0.13986	-0.0772147	-0.416299	-0.887624
780	0.1404	-0.0775328	-0.416788	-0.887454
783	0.14094	-0.0778514	-0.417278	-0.887284
786	0.14148	-0.0781705	-0.417768	-0.887113
789	0.14202	-0.0784901	-0.418258	-0.886942
792	0.14256	-0.0788102	-0.41875	-0.886772
795	0.1431	-0.0791307	-0.419241	-0.8866
798	0.14364	-0.0794517	-0.419733	-0.886429
801	0.14418	-0.0797732	-0.420226	-0.886258
804	0.14472	-0.0800952	-0.420719	-0.886086
807	0.14526	-0.0804177	-0.421213	-0.885914
810	0.1458	-0.0807406	-0.421707	-0.885742
813	0.14634	-0.0810639	-0.422201	-0.88557
816	0.14688	-0.0813878	-0.422696	-0.885397
819	0.14742	-0.081712	-0.423192	-0.885224
822	0.14796	-0.0820368	-0.423688	-0.885052
825	0.1485	-0.082362	-0.424184	-0.884879
828	0.14904	-0.0826876	-0.424681	-0.884705
831	0.14958	-0.0830137	-0.425178	-0.884532
834	0.15012	-0.0833402	-0.425676	-0.884358
837	0.15066	-0.0836672	-0.426174	-0.884185
840	0.1512	-0.0839945	-0.426672	-0.884011
843	0.15174	-0.0843224	-0.427171	-0.883837
846	0.15228	-0.0846506	-0.427671	-0.883662
849	0.15282	-0.0849793	-0.42817	-0.883488
852	0.15336	-0.0853084	-0.428671	-0.883313
855	0.1539	-0.0856379	-0.429171	-0.883138
858	0.15444	-0.0859679	-0.429672	-0.882963
861	0.15498	-0.0862982	-0.430174	-0.882788
864	0.15552	-0.086629	-0.430675	-0.882612
867	0.15606	-0.0869601	-0.431178	-0.882437
870	0.1566	-0.0872917	-0.43168	-0.882261
873	0.15714	-0.0876237	-0.432183	-0.882085
876	0.15768	-0.0879561	-0.432686	-0.881909
879	0.15822	-0.0882889	-0.43319	-0.881732
882	0.15876	-0.088622	-0.433694	-0.881556
885	0.1593	-0.0889556	-0.434198	-0.881379
888	0.15984	-0.0892895	-0.434703	-0.881202
891	0.16038	-0.0896238	-0.435208	-0.881025
894	0.16092	-0.0899585	-0.435713	-0.880847
897	0.16146	-0.0902936	-0.436219	-0.88067
900	0.162	-0.0906291	-0.436725	-0.880492
903	0.16254	-0.0909649	-0.437232	-0.880314
906	0.16308	-0.0913011	-0.437738	-0.880136
909	0.16362	-0.0916377	-0.438245	-0.879958
912	0.16416	-0.0919746	-0.438753	-0.879779
915	0.1647	-0.0923119	-0.43926	-0.879601
918	0.16524	-0.0926496	-0.439768	-0.879422
921	0.16578	-0.0929876	-0.440277	-0.879243
924	0.16632	-0.093326	-0.440785	-0.879064
927	0.16686	-0.0936647	-0.441294	-0.878884
930	0.1674	-0.0940037	-0.441803	-0.878705
933	0.16794	-0.0943431	-0.442313	-0.878525
936	0.16848	-0.0946829	-0.442822	-0.878345
939	0.16902	-0.0950229	-0.443332	-0.878165
942	0.16956	-0.0953633	-0.443842	-0.877984
945	0.1701	-0.0957041	-0.444353	-0.877804
948	0.17064	-0.0960451	-0.444864	-0.877623
951	0.17118	-0.0963865	-0.445375	-0.877442
954	0.17172	-0.0967283	-0.445886	-0.877261
957	0.17226	-0.0970703	-0.446397	-0.87708
960	0.1728	-0.0974126	-0.446909	-0.876898
963	0.17334	-0.0977553	-0.447421	-0.876717
966	0.17388	-0.0980983	-0.447933	-0.876535
969	0.17442	-0.0984416	-0.448446	-0.876353
972	0.17496	-0.0987852	-0.448959	-0.876171
975	0.1755	-0.0991291	-0.449471	-0.875988
978	0.17604	-0.0994732	-0.449985	-0.875806
981	0.17658	-0.0998177	-0.450498	-0.875623
984	0.17712	-0.100163	-0.451011	-0.87544
987	0.17766	-0.100508	-0.451525	-0.875257
990	0.1782	-0.100853	-0.452039	-0.875073
993	0.17874	-0.101199	-0.452553	-0.87489
996	0.17928	-0.101545	-0.453067	-0.874706
999	0.17982	-0.101891	-0.453582	-0.874522
1002	0.18036	-0.102237	-0.454096	-0.874338
1005	0.1809	-0.102584	-0.454611	-0.874154
1008	0.18144	-0.102931	-0.455126	-0.873969
1011	0.18198	-0.103278	-0.455641	-0.873784
1014	0.18252	-0.103626	-0.456157	-0.8736
1017	0.18306	-0.103974	-0.456672	-0.873414
1020	0.1836	-0.104322	-0.457188	-0.873229
1023	0.18414	-0.10467	-0.457704	-0.873044
1026	0.18468	-0.105019	-0.45822	-0.872858
1029	0.18522	-0.105368	-0.458736	-0.872672
1032	0.18576	-0.105717	-0.459252	-0.872486
1035	0.1863	-0.106066	-0.459768	-0.8723
1038	0.18684	-0.106416	-0.460285	-0.872114
1041	0.18738	-0.106765	-0.460801	-0.871927
1044	0.18792	-0.107116	-0.461318	-0.87174
1047	0.18846	-0.107466	-0.461835	-0.871553
1050	0.189	-0.107816	-0.462352	-0.871366
1053	0.18954	-0.108167	-0.462869	-0.871179
1056	0.19008	-0.108518	-0.463386	-0.870991
1059	0.19062	-0.108869	-0.463903	-0.870804
1062	0.19116	-0.109221	-0.46442	-0.870616
1065	0.1917	-0.109572	-0.464937	-0.870428
1068	0.19224	-0.109924	-0.465455	-0.870239
1071	0.19278	-0.110276	-0.465972	-0.870051
1074	0.19332	-0.110629	-0.46649	-0.869862
1077	0.19386	-0.110981	-0.467008	-0.869673
1080	0.1944	-0.111334	-0.467525	-0.869484
1083	0.19494	-0.111687	-0.468043	-0.869295
1086	0.19548	-0.11204	-0.468561	-0.869105
1089	0.19602	-0.112393	-0.469079	-0.868916
1092	0.19656	-0.112747	-0.469597	-0.868726
1095	0.1971	-0.1131	-0.470115	-0.868536
1098	0.19764	-0.113454	-0.470633	-0.868346
1101	0.19818	-0.113808	-0.471151	-0.868155
1104	0.19872	-0.114163	-0.471669	-0.867965
1107	0.19926	-0.114517	-0.472187	-0.867774
1110	0.1998	-0.114872	-0.472705	-0.867583
1113	0.20034	-0.115226	-0.473224	-0.867392
1116	0.20088	-0.115581	-0.473742	-0.867201
1119	0.20142	-0.115936	-0.47426	-0.867009
1122	0.20196	-0.116292	-0.474778	-0.866817
1125	0.2025	-0.116647	-0.475296	-0.866625
1128	0.20304	-0.117003	-0.475815	-0.866433
1131	0.20358	-0.117359	-0.476333	-0.866241
1134	0.20412	-0.117715	-0.476851	-0.866049
1137	0.20466	-0.118071	-0.477369	-0.865856
1140	0.2052	-0.118427	-0.477887	-0.865663
1143	0.20574	-0.118783	-0.478405	-0.86547
1146	0.20628	-0.11914	-0.478923	-0.865277
1149	0.20682	-0.119496	-0.479442	-0.865083
1152	0.20736	-0.119853	-0.47996	-0.86489
1155	0.2079	-0.12021	-0.480478	-0.864696
1158	0.20844	-0.120567	-0.480995	-0.864502
1161	0.20898	-0.120925	-0.481513	-0.864307
1164	0.20952	-0.121282	-0.482031	-0.864113
1167	0.21006	-0.121639	-0.482549	-0.863918
1170	0.2106	-0.121997	-0.483067	-0.863724
1173	0.21114	-0.122355	-0.483584	-0.863529
1176	0.21168	-0.122713	-0.484102	-0.863333
1179	0.21222	-0.123071	-0.484619	-0.863138
1182	0.21276	-0.123429	-0.485137	-0.862943
1185	0.2133	-0.123787	-0.485654	-0.862747
1188	0.21384	-0.124145	-0.486171	-0.862551
1191	0.21438	-0.124504	-0.486689	-0.862355
1194	0.21492	-0.124862	-0.487206	-0.862158
1197	0.21546	-0.125221	-0.487723	-0.861962
1200	0.216	-0.12558	-0.48824	-0.861765
1203	0.21654	-0.125938	-0.488756	-0.861568
1206	0.21708	-0.126297	-0.489273	-0.861371
1209	0.21762	-0.126656	-0.48979	-0.861174
1212	0.21816	-0.127015	-0.490306	-0.860976
1215	0.2187	-0.127375	-0.490822	-0.860779
1218	0.21924	-0.127734	-0.491339	-0.860581
1221	0.21978	-0.128093	-0.491855	-0.860383
1224	0.22032	-0.128453	-0.492371	-0.860184
1227	0.22086	-0.128812	-0.492886	-0.859986
1230	0.2214	-0.129172	-0.493402	-0.859787
1233	0.22194	-0.129532	-0.493917	-0.859589
1236	0.22248	-0.129891	-0.494433	-0.85939
1239	0.22302	-0.130251	-0.494948	-0.85919
1242	0.22356	-0.130611	-0.495463	-0.858991
1245	0.2241	-0.130971	-0.495978	-0.858791
1248	0.22464	-0.131331	-0.496493	-0.858592
1251	0.22518	-0.131691	-0.497007	-0.858392
1254	0.22572	-0.132051	-0.497522	-0.858191
1257	0.22626	-0.132411	-0.498036	-0.857991
1260	0.2268	-0.132772	-0.49855	-0.85779
1263	0.22734	-0.133132	-0.499064	-0.85759
1266	0.22788	-0.133492	-0.499578	-0.857389
1269	0.22842	-0.133853	-0.500091	-0.857188
1272	0.22896	-0.134213	-0.500604	-0.856986
1275	0.2295	-0.134574	-0.501117	-0.856785
1278	0.23004	-0.134934	-0.50163	-0.856583
1281	0.23058	-0.135295	-0.502143	-0.856381
1284	0.23112	-0.135655	-0.502656	-0.856179
1287	0.23166	-0.136016	-0.503168	-0.855977
1290	0.2322	-0.136376	-0.50368	-0.855774
1293	0.23274	-0.136737	-0.504192	-0.855571
1296	0.23328	-0.137098	-0.504703	-0.855368
1299	0.23382	-0.137458	-0.505215	-0.855165
1302	0.23436	-0.137819	-0.505726	-0.854962
1305	0.2349	-0.13818	-0.506237	-0.854759
1308	0.23544	-0.138541	-0.506747	-0.854555
1311	0.23598	-0.138901	-0.507258	-0.854351
1314	0.23652	-0.139262	-0.507768	-0.854147
1317	0.23706	-0.139623	-0.508278	-0.853943
1320	0.2376	-0.139984	-0.508788	-0.853738
1323	0.23814	-0.140344	-0.509297	-0.853534
1326	0.23868	-0.140705	-0.509806	-0.853329
1329	0.23922	-0.141066	-0.510315	-0.853124
1332	0.23976	-0.141427	-0.510824	-0.852919
1335	0.2403	-0.141788	-0.511332	-0.852713
1338	0.24084	-0.142148	-0.51184	-0.852508
1341	0.24138	-0.142509	-0.512348	-0.852302
1344	0.24192	-0.14287	-0.512856	-0.852096
1347	0.24246	-0.143231	-0.513363	-0.85189
1350	0.243	-0.143592	-0.51387	-0.851683
1353	0.24354	-0.143952	-0.514377	-0.851477
1356	0.24408	-0.144313	-0.514883	-0.85127
1359	0.24462	-0.144674	-0.515389	-0.851063
1362	0.24516	-0.145034	-0.515895	-0.850856
1365	0.2457	-0.145395	-0.5164	-0.850649
1368	0.24624	-0.145756	-0.516906	-0.850441
1371	0.24678	-0.146116	-0.51741	-0.850233
1374	0.24732	-0.146477	-0.517915	-0.850025
1377	0.24786	-0.146837	-0.518419	-0.849817
1380	0.2484	-0.147198	-0.518923	-0.849609
1383	0.24894	-0.147558	-0.519427	-0.8494
1386	0.24948	-0.147918	-0.51993	-0.849192
1389	0.25002	-0.148279	-0.520433	-0.848983
1392	0.25056	-0.148639	-0.520935	-0.848774
1395	0.2511	-0.148999	-0.521438	-0.848564
1398	0.25164	-0.149359	-0.52194	-0.848355
1401	0.25218	-0.14972	-0.522441	-0.848145
1404	0.25272	-0.15008	-0.522942	-0.847935
1407	0.25326	-0.15044	-0.523443	-0.847725
1410	0.2538	-0.1508	-0.523944	-0.847515
1413	0.25434	-0.15116	-0.524444	-0.847304
1416	0.25488	-0.151519	-0.524944	-0.847094
1419	0.25542	-0.151879	-0.525443	-0.846883
1422	0.25596	-0.152239	-0.525942	-0.846672
1425	0.2565	-0.152599	-0.526441	-0.846461
1428	0.25704	-0.152958	-0.526939	-0.846249
1431	0.25758	-0.153318	-0.527437	-0.846038
1434	0.25812	-0.153677	-0.527935	-0.845826
1437	0.25866	-0.154036	-0.528432	-0.845614
1440	0.2592	-0.154396	-0.528928	-0.845401
1443	0.25974	-0.154755	-0.529425	-0.845189
1446	0.26028	-0.155114	-0.529921	-0.844976
1449	0.26082	-0.155473	-0.530416	-0.844764
1452	0.26136	-0.155832	-0.530912	-0.844551
1455	0.2619	-0.156191	-0.531406	-0.844337
1458	0.26244	-0.15655	-0.531901	-0.844124
1461	0.26298	-0.156908	-0.532395	-0.84391
1464	0.26352	-0.157267	-0.532888	-0.843697
1467	0.26406	-0.157625	-0.533381	-0.843483
1470	0.2646	-0.157984	-0.533874	-0.843268
1473	0.26514	-0.158342	-0.534366	-0.843054
1476	0.26568	-0.1587	-0.534858	-0.842839
1479	0.26622	-0.159058	-0.53535	-0.842625
1482	0.26676	-0.159416	-0.535841	-0.84241
1485	0.2673	-0.159774	-0.536331	-0.842194
1488	0.26784	-0.160132	-0.536821	-0.841979
1491	0.26838	-0.16049	-0.537311	-0.841764
1494	0.26892	-0.160847	-0.5378	-0.841548
1497	0.26946	-0.161205	-0.538289	-0.841332
1500	0.27	-0.161562	-0.538777	-0.841116
1503	0.27054	-0.161919	-0.539265	-0.840899
1506	0.27108	-0.162276	-0.539753	-0.840683
1509	0.27162	-0.162633	-0.54024	-0.840466
1512	0.27216	-0.16299	-0.540726	-0.840249
1515	0.2727	-0.163347	-0.541212	-0.840032
1518	0.27324	-0.163704	-0.541698	-0.839815
1521	0.27378	-0.16406	-0.542183	-0.839597
1524	0.27432	-0.164416	-0.542668	-0.83938
1527	0.27486	-0.164773	-0.543152	-0.839162
1530	0.2754	-0.165129	-0.543636	-0.838944
1533	0.27594	-0.165485	-0.544119	-0.838725
1536	0.27648	-0.165841	-0.544602	-0.838507
1539	0.27702	-0.166196	-0.545084	-0.838288
1542	0.27756	-0.166552	-0.545566	-0.838069
1545	0.2781	-0.166907	-0.546047	-0.83785
1548	0.27864	-0.167262	-0.546528	-0.837631
1551	0.27918	-0.167617	-0.547008	-0.837411
1554	0.27972	-0.167972	-0.547488	-0.837192
1557	0.28026	-0.168327	-0.547967	-0.836972
1560	0.2808	-0.168682	-0.548446	-0.836752
1563	0.28134	-0.169036	-0.548924	-0.836531
1566	0.28188	-0.169391	-0.549402	-0.836311
1569	0.28242	-0.169745	-0.549879	-0.83609
1572	0.28296	-0.170099	-0.550356	-0.835869
1575	0.2835	-0.170453	-0.550832	-0.835648
1578	0.28404	-0.170807	-0.551307	-0.835427
1581	0.28458	-0.17116	-0.551783	-0.835206
1584	0.28512	-0.171513	-0.552257	-0.834984
1587	0.28566	-0.171867	-0.552731	-0.834762
1590	0.2862	-0.17222	-0.553205	-0.83454
1593	0.28674	-0.172573	-0.553678	-0.834318
1596	0.28728	-0.172925	-0.55415	-0.834095
1599	0.28782	-0.173278	-0.554622	-0.833873
1602	0.28836	-0.17363	-0.555094	-0.83365
1605	0.2889	-0.173983	-0.555565	-0.833427
1608	0.28944	-0.174335	-0.556035	-0.833204
