Time	LH_RectusFemoris	LH_RectusFemoris	
4.40802	0.04526277	0.004359969	
4.40856	0.04526513	0.004359969	
4.4091	0.04526748	0.004359969	
4.40964	0.04526983	0.004346172	
4.41018	0.04527218	0.004359969	
4.41072	0.04527452	0.004332374	
4.41126	0.04527687	0.004346172	
4.4118	0.04527921	0.004339273	
4.41234	0.04528155	0.004332374	
4.41288	0.04528389	0.004332374	
4.41342	0.04528623	0.004325476	
4.41396	0.04528856	0.004318577	
4.4145	0.04529089	0.004318577	
4.41504	0.04529322	0.004318577	
4.41558	0.04529556	0.004318577	
4.41612	0.04529788	0.00430478	
4.41666	0.0453002	0.004297881	
4.4172	0.04530253	0.00430478	
4.41774	0.04530484	0.004290982	
4.41828	0.04530716	0.004290982	
4.41882	0.04530947	0.004284083	
4.41936	0.04531179	0.004290982	
4.4199	0.0453141	0.004277185	
4.42044	0.04531641	0.004277185	
4.42098	0.04531872	0.004277185	
4.42152	0.04532103	0.004277185	
4.42206	0.04532333	0.004256489	
4.4226	0.04532563	0.004263388	
4.42314	0.04532793	0.004256489	
4.42368	0.04533022	0.00424959	
4.42422	0.04533252	0.00424959	
4.42476	0.0453348	0.004235793	
4.4253	0.0453371	0.00424959	
4.42584	0.04533939	0.004235793	
4.42638	0.04534168	0.004242691	
4.42692	0.04534395	0.004215097	
4.42746	0.04534624	0.004235793	
4.428	0.04534852	0.004215097	
4.42854	0.04535079	0.004215097	
4.42908	0.04535307	0.004208198	
4.42962	0.04535535	0.004221995	
4.43016	0.04535762	0.004208198	
4.4307	0.04535988	0.004187502	
4.43124	0.04536216	0.004215097	
4.43178	0.04536442	0.004187502	
4.43232	0.04536667	0.004180603	
4.43286	0.04536894	0.004187502	
4.4334	0.0453712	0.004187502	
4.43394	0.04537345	0.004173704	
4.43448	0.0453757	0.004166806	
4.43502	0.04537795	0.004166806	
4.43556	0.0453802	0.004173704	
4.4361	0.04538245	0.004153009	
4.43664	0.04538469	0.004159907	
4.43718	0.04538694	0.004153009	
4.43772	0.04538918	0.00414611	
4.43826	0.04539141	0.00414611	
4.4388	0.04539365	0.00414611	
4.43934	0.04539588	0.004132312	
4.43988	0.04539811	0.004125414	
4.44042	0.04540034	0.004132312	
4.44096	0.04540257	0.004118515	
4.4415	0.04540479	0.004118515	
4.44204	0.04540702	0.004118515	
4.44258	0.04540923	0.004104718	
4.44312	0.04541145	0.004104718	
4.44366	0.04541367	0.004111616	
4.4442	0.04541588	0.004090921	
4.44474	0.04541809	0.004097819	
4.44528	0.0454203	0.004090921	
4.44582	0.04542251	0.004084022	
4.44636	0.04542471	0.004077123	
4.4469	0.04542691	0.004084022	
4.44744	0.04542911	0.004063325	
4.44798	0.0454313	0.004070224	
4.44852	0.0454335	0.004063325	
4.44906	0.04543569	0.004063325	
4.4496	0.04543788	0.004056427	
4.45014	0.04544007	0.004049528	
4.45068	0.04544226	0.004049528	
4.45122	0.04544444	0.00404263	
4.45176	0.04544662	0.004028832	
4.4523	0.04544879	0.004035731	
4.45284	0.04545097	0.004021933	
4.45338	0.04545315	0.004035731	
4.45392	0.04545531	0.004015035	
4.45446	0.04545749	0.004021933	
4.455	0.04545965	0.004008136	
4.45554	0.04546181	0.004008136	
4.45608	0.04546398	0.004001237	
