TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
98	0.05292	0	0.37	0.535752	0	0.305527	0.633923	0	0	0	0	0.0019988	0.0263944
99	0.05346	0	0.37	0.533977	0	0.304921	0.643607	0	0	0	0.00134144	0.00919155	0.0306691
100	0.054	0	0.37	0.532122	0	0.304195	0.65323	0	0	0	0.00801513	0.0165472	0.0350369
101	0.05454	0	0.37	0.5302	0	0.303352	0.662787	0	0	0	0.0148358	0.0240548	0.0394957
102	0.05508	0	0.37	0.528224	0	0.302399	0.67227	0	0	0	0.0217898	0.0316965	0.0440382
103	0.05562	0	0.37	0.52621	0	0.301347	0.681675	0	0	0	0.0288631	0.0394546	0.048657
104	0.05616	0	0.37	0.524172	0	0.300203	0.690988	0	0	0	0.0360357	0.0473103	0.0533312
105	0.0567	0	0.37	0.522124	0	0.298972	0.7002	0	0	0	0.0432896	0.0552416	0.0580457
106	0.05724	0	0.37	0.520078	0	0.297666	0.709306	0	0	0	0.0506103	0.0632306	0.0627899
107	0.05778	0	0.37	0.518047	0	0.296291	0.718295	0	0	0	0.0579804	0.0712614	0.0675464
108	0.05832	0	0.37	0.516041	0	0.294854	0.727158	0	0	0	0.0653851	0.0793134	0.0723038
109	0.05886	0	0.37	0.514072	0	0.293361	0.735884	0	0	0	0.0728075	0.0873681	0.0770442
110	0.0594	0	0.37	0.512147	0	0.291818	0.744465	0	0	0	0.0802289	0.0954214	0.0817779
111	0.05994	0	0.37	0.510276	0	0.290232	0.752893	0	0	0	0.0876368	0.103461	0.0865007
112	0.06048	0	0.37	0.508466	0	0.28861	0.76116	0	0	0	0.0950152	0.11147	0.0911953
113	0.06102	0	0.37	0.506725	0	0.286956	0.769255	0	0	0	0.102349	0.119429	0.095849
