TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
57	0.03078	0.0430667	0.00678584	0.0284829	0.0323704	0.0145278	0.0454993	0.0343341	0.0405688	0.0468059	0.0363362	0.0412255	0.0400076
58	0.03132	0.0430527	0.00678543	0.0284727	0.0323587	0.0145315	0.0455042	0.0343205	0.0405544	0.0467926	0.0363363	0.0412256	0.0400071
59	0.03186	0.0430391	0.00678504	0.0284628	0.0323475	0.0145351	0.045509	0.0343073	0.0405405	0.0467799	0.0363363	0.0412256	0.0400065
60	0.0324	0.043026	0.00678465	0.0284532	0.0323367	0.0145386	0.0455137	0.0342947	0.0405271	0.0467678	0.0363364	0.0412256	0.040006
61	0.03294	0.0430133	0.00678429	0.028444	0.0323262	0.014542	0.0455181	0.0342824	0.0405141	0.0467565	0.0363364	0.0412257	0.0400054
62	0.03348	0.0430011	0.00678393	0.0284352	0.0323162	0.0145452	0.0455224	0.0342707	0.0405016	0.0467458	0.0363365	0.0412257	0.0400049
63	0.03402	0.0429894	0.00678359	0.0284267	0.0323066	0.0145483	0.0455265	0.0342594	0.0404896	0.0467358	0.0363365	0.0412257	0.0400043
64	0.03456	0.0429782	0.00678327	0.0284185	0.0322974	0.0145513	0.0455305	0.0342487	0.0404781	0.0467265	0.0363365	0.0412258	0.0400037
65	0.0351	0.0429674	0.00678296	0.0284108	0.0322886	0.0145542	0.0455343	0.0342384	0.040467	0.046718	0.0363366	0.0412258	0.0400031
66	0.03564	0.0429571	0.00678267	0.0284034	0.0322803	0.0145569	0.0455379	0.0342286	0.0404565	0.0467101	0.0363366	0.0412258	0.0400025
67	0.03618	0.0429474	0.00678239	0.0283963	0.0322724	0.0145595	0.0455413	0.0342194	0.0404465	0.046703	0.0363367	0.0412259	0.0400019
