TimeSlice	Time	adductorbrevis	tensorfascialatae
261	0.522	0.399969	0.372759
262	0.524	0.399896	0.372753
263	0.526	0.399591	0.373096
264	0.528	0.399092	0.373744
265	0.53	0.398455	0.374617
266	0.532	0.397753	0.375613
267	0.534	0.397062	0.376627
268	0.536	0.396456	0.377542
269	0.538	0.395995	0.378263
270	0.54	0.395727	0.378718
271	0.542	0.395675	0.378861
272	0.544	0.395838	0.378686
273	0.546	0.396192	0.378218
274	0.548	0.396692	0.377514
275	0.55	0.397283	0.376655
276	0.552	0.397894	0.37574
277	0.554	0.398461	0.374866
278	0.556	0.39892	0.374127
279	0.558	0.399225	0.373601
280	0.56	0.399344	0.373338
281	0.562	0.399268	0.373358
282	0.564	0.39901	0.373655
283	0.566	0.398602	0.374187
284	0.568	0.398089	0.374892
285	0.57	0.397529	0.375689
286	0.572	0.396985	0.376491
287	0.574	0.396511	0.377206
288	0.576	0.396158	0.377761
289	0.578	0.39596	0.378101
290	0.58	0.395934	0.378192
291	0.582	0.396077	0.37803
292	0.584	0.396371	0.377639
293	0.586	0.396777	0.377068
294	0.588	0.39725	0.376377
295	0.59	0.397735	0.375651
296	0.592	0.398178	0.374962
297	0.594	0.398534	0.374389
298	0.596	0.398762	0.373988
299	0.598	0.398843	0.373798
300	0.6	0.398768	0.373836
301	0.602	0.398552	0.37409
302	0.604	0.398217	0.374527
303	0.606	0.397805	0.375097
304	0.608	0.39736	0.375734
305	0.61	0.396928	0.376367
306	0.612	0.39656	0.376924
307	0.614	0.396289	0.377353
308	0.616	0.396144	0.377605
309	0.618	0.396137	0.377658
310	0.62	0.396262	0.377511
311	0.622	0.396505	0.377185
312	0.624	0.396835	0.376719
313	0.626	0.397213	0.376166
314	0.628	0.397596	0.37559
315	0.63	0.397943	0.375049
316	0.632	0.398216	0.374605
317	0.634	0.398388	0.374301
318	0.636	0.39844	0.374167
319	0.638	0.39837	0.374214
320	0.64	0.398188	0.37443
321	0.642	0.397916	0.37479
322	0.644	0.397583	0.375249
323	0.646	0.397229	0.375756
324	0.648	0.39689	0.376255
325	0.65	0.396604	0.376691
326	0.652	0.396397	0.377018
327	0.654	0.396292	0.377205
328	0.656	0.396296	0.377232
329	0.658	0.396405	0.377101
330	0.66	0.396606	0.37683
331	0.662	0.396871	0.376452
332	0.664	0.397174	0.376009
333	0.666	0.397476	0.375551
334	0.668	0.397748	0.375128
335	0.67	0.397959	0.374783
336	0.672	0.398086	0.374554
337	0.674	0.398118	0.37446
338	0.676	0.398053	0.37451
339	0.678	0.397902	0.374694
340	0.68	0.397679	0.374989
341	0.682	0.397411	0.37536
342	0.684	0.397131	0.375764
343	0.686	0.396863	0.376158
344	0.688	0.396641	0.376497
345	0.69	0.396483	0.376749
346	0.692	0.396408	0.376884
347	0.694	0.396419	0.376893
348	0.696	0.396514	0.376778
349	0.698	0.396679	0.376553
350	0.7	0.396894	0.376245
351	0.702	0.397135	0.375891
352	0.704	0.397375	0.375527
353	0.706	0.397586	0.375196
354	0.708	0.397747	0.37493
355	0.71	0.397842	0.374758
356	0.712	0.39786	0.374695
357	0.714	0.397801	0.374744
358	0.716	0.397675	0.3749
359	0.718	0.397494	0.375141
360	0.72	0.397279	0.375439
361	0.722	0.397055	0.375762
362	0.724	0.396846	0.376071
363	0.726	0.396673	0.376336
364	0.728	0.396554	0.376527
365	0.73	0.3965	0.376626
366	0.732	0.396515	0.376624
367	0.734	0.396597	0.376524
368	0.736	0.396732	0.376337
369	0.738	0.396906	0.376088
370	0.74	0.397098	0.375804
371	0.742	0.397287	0.375516
372	0.744	0.397453	0.375256
373	0.746	0.397575	0.375052
374	0.748	0.397645	0.374922
375	0.75	0.397653	0.374881
376	0.752	0.397602	0.374929
377	0.754	0.397496	0.375059
378	0.756	0.397348	0.375256
379	0.758	0.397177	0.375496
380	0.76	0.396999	0.375752
381	0.762	0.396834	0.375996
382	0.764	0.396701	0.376201
383	0.766	0.39661	0.376347
384	0.768	0.396573	0.376418
385	0.77	0.396591	0.376409
386	0.772	0.396658	0.376322
387	0.774	0.39677	0.376169
388	0.776	0.39691	0.375967
389	0.778	0.397064	0.375739
390	0.78	0.397212	0.375512
391	0.782	0.397341	0.375309
392	0.784	0.397435	0.375152
393	0.786	0.397486	0.375055
394	0.788	0.397488	0.375029
395	0.79	0.397442	0.375073
396	0.792	0.397355	0.375183
397	0.794	0.397236	0.375343
398	0.796	0.397098	0.375535
399	0.798	0.396958	0.375739
400	0.8	0.396828	0.375932
401	0.802	0.396724	0.37609
402	0.804	0.396656	0.376201
403	0.806	0.39663	0.376252
404	0.808	0.396648	0.376238
405	0.81	0.396706	0.376162
406	0.812	0.396797	0.376038
407	0.814	0.396911	0.375874
408	0.816	0.397032	0.375693
409	0.818	0.397149	0.375514
410	0.82	0.397127	0.375355
411	0.822	0.397086	0.375416
412	0.824	0.397033	0.375498
413	0.826	0.396973	0.375591
414	0.828	0.396913	0.375686
415	0.83	0.396859	0.375772
416	0.832	0.396819	0.375842
417	0.834	0.396797	0.375886
418	0.836	0.396792	0.375903
419	0.838	0.396809	0.375892
420	0.84	0.39684	0.375851
421	0.842	0.396887	0.375789
422	0.844	0.396943	0.375712
423	0.846	0.396999	0.375629
424	0.848	0.397052	0.37555
425	0.85	0.397096	0.375483
426	0.852	0.397124	0.375435
427	0.854	0.397137	0.37541
428	0.856	0.397131	0.375411
429	0.858	0.397108	0.375438
430	0.86	0.397072	0.375485
431	0.862	0.397025	0.37555
432	0.864	0.396974	0.375622
433	0.866	0.396924	0.375696
434	0.868	0.39688	0.375762
435	0.87	0.396847	0.375814
436	0.872	0.396829	0.375845
437	0.874	0.396825	0.375855
438	0.876	0.396838	0.375842
439	0.878	0.396863	0.375807
440	0.88	0.396899	0.375755
441	0.882	0.396941	0.375693
442	0.884	0.396987	0.375625
443	0.886	0.397026	0.375563
444	0.888	0.397059	0.37551
445	0.89	0.39708	0.375472
446	0.892	0.397088	0.375453
447	0.894	0.397081	0.375456
448	0.896	0.397061	0.375478
449	0.898	0.39703	0.375517
450	0.9	0.396991	0.375569
451	0.902	0.39695	0.375627
452	0.904	0.39691	0.375685
453	0.906	0.396901	0.375737
454	0.908	0.3969	0.375738
455	0.91	0.396905	0.375728
456	0.912	0.396915	0.37571
457	0.914	0.39693	0.375685
458	0.916	0.396948	0.375657
459	0.918	0.396966	0.375626
460	0.92	0.39698	0.3756
461	0.922	0.396993	0.375578
462	0.924	0.396999	0.375562
463	0.926	0.396998	0.375556
464	0.928	0.396994	0.375559
465	0.93	0.396982	0.375569
466	0.932	0.396968	0.375587
467	0.934	0.39695	0.37561
468	0.936	0.396931	0.375635
469	0.938	0.396914	0.375659
470	0.94	0.396906	0.375679
471	0.942	0.396901	0.375684
472	0.944	0.396901	0.375682
473	0.946	0.396904	0.375675
474	0.948	0.39691	0.375665
475	0.95	0.396919	0.37565
476	0.952	0.396928	0.375635
477	0.954	0.396937	0.375619
478	0.956	0.396945	0.375604
479	0.958	0.396951	0.375592
480	0.96	0.396953	0.375584
481	0.962	0.396952	0.375582
482	0.964	0.396948	0.375585
483	0.966	0.396941	0.375592
484	0.968	0.396932	0.375601
485	0.97	0.396921	0.375614
486	0.972	0.396911	0.375628
487	0.974	0.396904	0.37564
488	0.976	0.396899	0.375647
489	0.978	0.396896	0.375651
490	0.98	0.396894	0.375652
491	0.982	0.396895	0.37565
492	0.984	0.396898	0.375644
493	0.986	0.396901	0.375637
494	0.988	0.396906	0.375627
495	0.99	0.396911	0.375619
496	0.992	0.396916	0.37561
497	0.994	0.39692	0.375601
498	0.996	0.396921	0.375597
499	0.998	0.396922	0.375593
500	1	0.396921	0.375593
501	1.002	0.396918	0.375597
502	1.004	0.396913	0.375602
503	1.006	0.396906	0.375608
504	1.008	0.3969	0.375615
505	1.01	0.396894	0.375622
506	1.012	0.396889	0.375629
507	1.014	0.396885	0.375634
508	1.016	0.396883	0.375637
509	1.018	0.396882	0.375638
510	1.02	0.396883	0.375636
511	1.022	0.396886	0.375631
512	1.024	0.396888	0.375625
513	1.026	0.396892	0.375618
514	1.028	0.396897	0.375611
515	1.03	0.396899	0.375604
516	1.032	0.396894	0.375599
517	1.034	0.396889	0.375607
518	1.036	0.396883	0.375615
519	1.038	0.396877	0.375623
520	1.04	0.396874	0.375629
521	1.042	0.39687	0.375633
522	1.044	0.39687	0.375634
523	1.046	0.396871	0.375633
524	1.048	0.396873	0.375628
525	1.05	0.396877	0.375622
526	1.052	0.396882	0.375615
527	1.054	0.396887	0.375607
528	1.056	0.396883	0.3756
529	1.058	0.396877	0.375607
530	1.06	0.396872	0.375614
531	1.062	0.396869	0.375619
532	1.064	0.396866	0.375624
533	1.066	0.396865	0.375626
534	1.068	0.396865	0.375626
535	1.07	0.396867	0.375623
536	1.072	0.396871	0.37562
537	1.074	0.396874	0.375613
538	1.076	0.396877	0.375607
539	1.078	0.396873	0.375602
540	1.08	0.39687	0.375608
541	1.082	0.396867	0.375613
542	1.084	0.396863	0.375618
543	1.086	0.396863	0.37562
544	1.088	0.396863	0.375621
545	1.09	0.396863	0.375619
546	1.092	0.396866	0.375616
547	1.094	0.396868	0.375612
548	1.096	0.396871	0.375608
549	1.098	0.396875	0.375602
550	1.1	0.396871	0.375598
551	1.102	0.396867	0.375604
552	1.104	0.396864	0.375609
553	1.106	0.396861	0.375613
554	1.108	0.39686	0.375617
555	1.11	0.396859	0.375617
556	1.112	0.39686	0.375618
557	1.114	0.39686	0.375615
558	1.116	0.396864	0.375612
559	1.118	0.396866	0.375607
560	1.12	0.396869	0.375603
561	1.122	0.396866	0.375597
562	1.124	0.396863	0.375602
563	1.126	0.39686	0.375607
564	1.128	0.396857	0.375611
565	1.13	0.396856	0.375613
566	1.132	0.396855	0.375615
567	1.134	0.396857	0.375614
568	1.136	0.396858	0.375611
569	1.138	0.396861	0.375609
570	1.14	0.396864	0.375603
571	1.142	0.396867	0.375599
572	1.144	0.396864	0.375595
573	1.146	0.396861	0.3756
574	1.148	0.396858	0.375605
575	1.15	0.396856	0.375609
576	1.152	0.396854	0.375611
577	1.154	0.396854	0.375611
578	1.156	0.396854	0.375612
579	1.158	0.396856	0.375611
580	1.16	0.396857	0.375607
581	1.162	0.39686	0.375603
582	1.164	0.396863	0.375599
583	1.166	0.39686	0.375595
584	1.168	0.396858	0.3756
585	1.17	0.396855	0.375603
586	1.172	0.396853	0.375606
587	1.174	0.396853	0.375609
588	1.176	0.396852	0.37561
589	1.178	0.396852	0.375609
590	1.18	0.396853	0.375607
591	1.182	0.396856	0.375604
592	1.184	0.396858	0.3756
593	1.186	0.396861	0.375597
594	1.188	0.396859	0.375593
595	1.19	0.396856	0.375597
596	1.192	0.396853	0.375602
597	1.194	0.396851	0.375604
598	1.196	0.39685	0.375607
599	1.198	0.39685	0.375607
600	1.2	0.39685	0.375607
601	1.202	0.396851	0.375606
602	1.204	0.396853	0.375603
603	1.206	0.396855	0.3756
604	1.208	0.396857	0.375597
605	1.21	0.396854	0.375594
606	1.212	0.396852	0.375597
607	1.214	0.396851	0.3756
608	1.216	0.39685	0.375603
609	1.218	0.396849	0.375604
610	1.22	0.396849	0.375604
611	1.222	0.39685	0.375604
612	1.224	0.39685	0.375603
613	1.226	0.396852	0.375601
614	1.228	0.396853	0.375599
615	1.23	0.396855	0.375596
616	1.232	0.396853	0.375593
617	1.234	0.396852	0.375596
618	1.236	0.39685	0.375599
619	1.238	0.396848	0.375601
620	1.24	0.396847	0.375603
621	1.242	0.396848	0.375603
622	1.244	0.396847	0.375603
623	1.246	0.396848	0.375602
624	1.248	0.39685	0.3756
625	1.25	0.396851	0.375597
626	1.252	0.396853	0.375595
627	1.254	0.396851	0.375593
628	1.256	0.39685	0.375596
629	1.258	0.396848	0.375598
630	1.26	0.396847	0.3756
631	1.262	0.396846	0.375602
632	1.264	0.396846	0.375602
633	1.266	0.396846	0.375601
634	1.268	0.396846	0.3756
635	1.27	0.396849	0.375598
636	1.272	0.39685	0.375596
637	1.274	0.396851	0.375595
638	1.276	0.396849	0.375591
639	1.278	0.396848	0.375594
640	1.28	0.396847	0.375596
641	1.282	0.396845	0.375598
