Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.28836	-0.5629489	-0.8927711	-0.2734542	
0.28998	-0.5639255	-0.8920766	-0.2743078	
0.2916	-0.5649059	-0.8913783	-0.2751605	
0.29322	-0.5658901	-0.8906763	-0.2760122	
0.29484	-0.566878	-0.8899703	-0.276863	
0.29646	-0.5678694	-0.8892605	-0.2777129	
0.29808	-0.5688645	-0.8885468	-0.2785616	
0.2997	-0.5698629	-0.8878293	-0.2794092	
0.30132	-0.5708649	-0.8871079	-0.2802557	
0.30294	-0.5718701	-0.8863826	-0.281101	
0.30456	-0.5728786	-0.8856535	-0.2819451	
0.30618	-0.5738903	-0.8849205	-0.2827879	
0.3078	-0.5749052	-0.8841835	-0.2836294	
0.30942	-0.5759231	-0.8834427	-0.2844695	
0.31104	-0.5769441	-0.882698	-0.2853083	
0.31266	-0.577968	-0.8819494	-0.2861455	
0.31428	-0.5789948	-0.8811969	-0.2869813	
0.3159	-0.5800244	-0.8804404	-0.2878156	
0.31752	-0.5810567	-0.87968	-0.2886483	
0.31914	-0.5820917	-0.8789157	-0.2894794	
0.32076	-0.5831293	-0.8781474	-0.2903089	
0.32238	-0.5841694	-0.8773752	-0.2911366	
0.324	-0.5852121	-0.876599	-0.2919626	
0.32562	-0.586257	-0.8758189	-0.2927869	
0.32724	-0.5873044	-0.8750348	-0.2936094	
0.32886	-0.5883541	-0.8742468	-0.29443	
0.33048	-0.5894059	-0.8734547	-0.2952487	
0.3321	-0.5904599	-0.8726587	-0.2960656	
0.33372	-0.591516	-0.8718588	-0.2968805	
0.33534	-0.5925741	-0.8710548	-0.2976933	
0.33696	-0.5936341	-0.8702468	-0.2985042	
0.33858	-0.5946961	-0.8694348	-0.299313	
0.3402	-0.5957599	-0.8686188	-0.3001197	
0.34182	-0.5968254	-0.8677989	-0.3009242	
0.34344	-0.5978926	-0.8669748	-0.3017266	
0.34506	-0.5989614	-0.8661468	-0.3025269	
0.34668	-0.6000319	-0.8653147	-0.3033248	
0.3483	-0.6011038	-0.8644786	-0.3041205	
0.34992	-0.6021771	-0.8636385	-0.3049139	
0.35154	-0.6032519	-0.8627943	-0.305705	
0.35316	-0.6043279	-0.8619462	-0.3064937	
0.35478	-0.6054053	-0.8610939	-0.30728	
0.3564	-0.6064838	-0.8602375	-0.3080639	
0.35802	-0.6075634	-0.8593771	-0.3088453	
0.35964	-0.6086441	-0.8585127	-0.3096242	
0.36126	-0.6097258	-0.8576441	-0.3104006	
0.36288	-0.6108086	-0.8567716	-0.3111745	
0.3645	-0.6118921	-0.8558949	-0.3119458	
0.36612	-0.6129765	-0.8550141	-0.3127144	
0.36774	-0.6140617	-0.8541293	-0.3134805	
0.36936	-0.6151475	-0.8532403	-0.3142438	
0.37098	-0.6162341	-0.8523473	-0.3150045	
0.3726	-0.6173211	-0.8514501	-0.3157625	
0.37422	-0.6184088	-0.8505489	-0.3165177	
0.37584	-0.6194969	-0.8496435	-0.3172701	
0.37746	-0.6205855	-0.8487341	-0.3180197	
0.37908	-0.6216744	-0.8478205	-0.3187665	
0.3807	-0.6227636	-0.8469027	-0.3195105	
0.38232	-0.623853	-0.8459809	-0.3202516	
0.38394	-0.6249427	-0.8450549	-0.3209897	
0.38556	-0.6260325	-0.8441248	-0.321725	
0.38718	-0.6271223	-0.8431906	-0.3224573	
0.3888	-0.6282122	-0.8422522	-0.3231866	
0.39042	-0.629302	-0.8413096	-0.3239129	
0.39204	-0.6303919	-0.840363	-0.3246362	
0.39366	-0.6314815	-0.8394122	-0.3253565	
0.39528	-0.632571	-0.8384572	-0.3260737	
0.3969	-0.6336601	-0.837498	-0.3267878	
0.39852	-0.634749	-0.8365347	-0.3274988	
0.40014	-0.6358376	-0.8355672	-0.3282067	
0.40176	-0.6369257	-0.8345956	-0.3289115	
0.40338	-0.6380134	-0.8336198	-0.329613	
0.405	-0.6391005	-0.8326398	-0.3303114	
0.40662	-0.6401871	-0.8316556	-0.3310066	
0.40824	-0.6412731	-0.8306673	-0.3316985	
0.40986	-0.6423585	-0.8296748	-0.3323872	
0.41148	-0.6434431	-0.8286781	-0.3330727	
0.4131	-0.644527	-0.8276771	-0.3337549	
0.41472	-0.64561	-0.8266721	-0.3344337	
0.41634	-0.6466923	-0.8256628	-0.3351093	
0.41796	-0.6477736	-0.8246493	-0.3357815	
0.41958	-0.648854	-0.8236316	-0.3364504	
0.4212	-0.6499333	-0.8226098	-0.3371159	
0.42282	-0.6510117	-0.8215837	-0.3377781	
0.42444	-0.6520889	-0.8205534	-0.3384368	
0.42606	-0.653165	-0.8195189	-0.3390922	
0.42768	-0.65424	-0.8184803	-0.3397441	
0.4293	-0.6553137	-0.8174373	-0.3403926	
0.43092	-0.6563861	-0.8163902	-0.3410376	
0.43254	-0.6574573	-0.8153389	-0.3416792	
0.43416	-0.6585271	-0.8142833	-0.3423173	
0.43578	-0.6595955	-0.8132236	-0.3429518	
0.4374	-0.6606625	-0.8121596	-0.3435829	
0.43902	-0.661728	-0.8110914	-0.3442105	
0.44064	-0.6627919	-0.810019	-0.3448346	
0.44226	-0.6638544	-0.8089423	-0.3454551	
0.44388	-0.6649151	-0.8078614	-0.3460721	
0.4455	-0.6659743	-0.8067764	-0.3466855	
0.44712	-0.6670318	-0.8056871	-0.3472953	
0.44874	-0.6680876	-0.8045935	-0.3479016	
0.45036	-0.6691416	-0.8034958	-0.3485043	
0.45198	-0.6701939	-0.8023937	-0.3491034	
0.4536	-0.6712442	-0.8012875	-0.3496988	
0.45522	-0.6722928	-0.800177	-0.3502907	
0.45684	-0.6733394	-0.7990624	-0.3508789	
0.45846	-0.6743841	-0.7979435	-0.3514635	
0.46008	-0.6754268	-0.7968203	-0.3520445	
0.4617	-0.6764675	-0.7956929	-0.3526218	
0.46332	-0.6775062	-0.7945613	-0.3531954	
0.46494	-0.6785428	-0.7934255	-0.3537654	
0.46656	-0.6795773	-0.7922854	-0.3543317	
0.46818	-0.6806096	-0.7911411	-0.3548944	
0.4698	-0.6816399	-0.7899926	-0.3554533	
0.47142	-0.6826678	-0.7888398	-0.3560086	
0.47304	-0.6836935	-0.7876828	-0.3565602	
0.47466	-0.6847171	-0.7865216	-0.3571081	
0.47628	-0.6857382	-0.7853561	-0.3576523	
0.4779	-0.6867571	-0.7841864	-0.3581928	
0.47952	-0.6877736	-0.7830124	-0.3587295	
0.48114	-0.6887878	-0.7818343	-0.3592626	
0.48276	-0.6897995	-0.780652	-0.3597919	
0.48438	-0.6908088	-0.7794654	-0.3603175	
0.486	-0.6918157	-0.7782745	-0.3608394	
0.48762	-0.69282	-0.7770795	-0.3613575	
0.48924	-0.6938218	-0.7758802	-0.361872	
0.49086	-0.6948212	-0.7746767	-0.3623827	
0.49248	-0.6958179	-0.773469	-0.3628896	
0.4941	-0.6968121	-0.7722571	-0.3633928	
0.49572	-0.6978037	-0.7710409	-0.3638923	
0.49734	-0.6987926	-0.7698206	-0.364388	
0.49896	-0.6997789	-0.768596	-0.36488	
0.50058	-0.7007625	-0.7673672	-0.3653682	
0.5022	-0.7017434	-0.7661342	-0.3658527	
0.50382	-0.7027216	-0.764897	-0.3663335	
0.50544	-0.703697	-0.7636556	-0.3668105	
0.50706	-0.7046698	-0.76241	-0.3672837	
0.50868	-0.7056397	-0.7611601	-0.3677532	
0.5103	-0.7066068	-0.7599061	-0.368219	
0.51192	-0.7075711	-0.7586479	-0.368681	
0.51354	-0.7085326	-0.7573856	-0.3691393	
0.51516	-0.7094913	-0.756119	-0.3695938	
0.51678	-0.7104471	-0.7548482	-0.3700446	
0.5184	-0.7114	-0.7535732	-0.3704916	
0.52002	-0.71235	-0.7522941	-0.3709349	
0.52164	-0.7132971	-0.7510108	-0.3713744	
0.52326	-0.7142413	-0.7497233	-0.3718102	
0.52488	-0.7151826	-0.7484316	-0.3722423	
0.5265	-0.7161209	-0.7471358	-0.3726706	
0.52812	-0.7170562	-0.7458358	-0.3730952	
0.52974	-0.7179886	-0.7445316	-0.3735161	
0.53136	-0.718918	-0.7432232	-0.3739332	
0.53298	-0.7198443	-0.7419108	-0.3743466	
0.5346	-0.7207677	-0.7405941	-0.3747563	
0.53622	-0.7216881	-0.7392734	-0.3751623	
0.53784	-0.7226054	-0.7379485	-0.3755646	
0.53946	-0.7235197	-0.7366195	-0.3759631	
0.54108	-0.724431	-0.7352863	-0.3763579	
0.5427	-0.7253392	-0.733949	-0.3767491	
0.54432	-0.7262443	-0.7326075	-0.3771365	
0.54594	-0.7271464	-0.731262	-0.3775202	
0.54756	-0.7280453	-0.7299123	-0.3779002	
0.54918	-0.7289413	-0.7285586	-0.3782766	
0.5508	-0.7298341	-0.7272007	-0.3786492	
0.55242	-0.7307238	-0.7258387	-0.3790182	
0.55404	-0.7316105	-0.7244726	-0.3793835	
0.5556599	-0.732494	-0.7231025	-0.3797451	
0.55728	-0.7333744	-0.7217283	-0.3801031	
0.5589	-0.7342517	-0.7203499	-0.3804573	
0.56052	-0.7351259	-0.7189676	-0.3808079	
0.56214	-0.735997	-0.7175811	-0.3811549	
0.56376	-0.7368649	-0.7161906	-0.3814982	
0.56538	-0.7377298	-0.714796	-0.3818378	
0.567	-0.7385915	-0.7133974	-0.3821739	
0.56862	-0.7394501	-0.7119947	-0.3825063	
0.57024	-0.7403056	-0.710588	-0.382835	
0.57186	-0.7411579	-0.7091773	-0.3831601	
0.57348	-0.7420072	-0.7077625	-0.3834816	
0.5751	-0.7428533	-0.7063437	-0.3837995	
0.57672	-0.7436963	-0.7049209	-0.3841138	
0.57834	-0.7445362	-0.7034941	-0.3844245	
0.57996	-0.745373	-0.7020634	-0.3847315	
0.58158	-0.7462066	-0.7006286	-0.385035	
0.5832	-0.7470372	-0.6991898	-0.3853349	
0.58482	-0.7478646	-0.6977471	-0.3856312	
0.58644	-0.748689	-0.6963004	-0.385924	
0.58806	-0.7495102	-0.6948497	-0.3862131	
0.58968	-0.7503284	-0.6933951	-0.3864987	
0.5913	-0.7511435	-0.6919366	-0.3867807	
0.59292	-0.7519554	-0.6904741	-0.3870592	
0.59454	-0.7527643	-0.6890076	-0.3873342	
0.59616	-0.7535702	-0.6875373	-0.3876055	
0.59778	-0.754373	-0.6860631	-0.3878734	
0.5994	-0.7551727	-0.6845849	-0.3881377	
0.60102	-0.7559693	-0.6831028	-0.3883985	
0.60264	-0.756763	-0.6816168	-0.3886558	
0.60426	-0.7575536	-0.680127	-0.3889095	
0.60588	-0.7583412	-0.6786333	-0.3891598	
0.6075	-0.7591258	-0.6771357	-0.3894065	
0.60912	-0.7599073	-0.6756343	-0.3896498	
0.61074	-0.7606859	-0.674129	-0.3898895	
0.61236	-0.7614614	-0.6726199	-0.3901258	
0.61398	-0.762234	-0.6711069	-0.3903586	
0.6156	-0.7630036	-0.6695902	-0.3905879	
0.61722	-0.7637703	-0.6680697	-0.3908138	
0.61884	-0.7645341	-0.6665453	-0.3910362	
0.62046	-0.7652948	-0.6650171	-0.3912551	
0.62208	-0.7660527	-0.6634852	-0.3914705	
0.6237	-0.7668076	-0.6619495	-0.3916826	
0.62532	-0.7675597	-0.66041	-0.3918912	
0.62694	-0.7683089	-0.6588668	-0.3920963	
0.6285599	-0.7690551	-0.6573199	-0.392298	
0.63018	-0.7697986	-0.6557692	-0.3924963	
0.6318	-0.7705392	-0.6542148	-0.3926911	
0.63342	-0.7712769	-0.6526567	-0.3928826	
0.63504	-0.7720118	-0.6510949	-0.3930706	
0.63666	-0.7727439	-0.6495294	-0.3932552	
0.63828	-0.7734733	-0.6479602	-0.3934365	
0.6399	-0.7741998	-0.6463874	-0.3936143	
0.64152	-0.7749236	-0.6448109	-0.3937888	
0.64314	-0.7756446	-0.6432308	-0.3939598	
0.64476	-0.7763629	-0.641647	-0.3941275	
0.6463799	-0.7770784	-0.6400597	-0.3942917	
0.648	-0.7777913	-0.6384687	-0.3944527	
0.64962	-0.7785015	-0.6368741	-0.3946102	
0.65124	-0.779209	-0.635276	-0.3947644	
0.65286	-0.7799138	-0.6336742	-0.3949152	
0.65448	-0.780616	-0.6320689	-0.3950627	
0.6561	-0.7813156	-0.6304601	-0.3952067	
0.65772	-0.7820126	-0.6288477	-0.3953475	
0.65934	-0.782707	-0.6272318	-0.3954849	
0.66096	-0.7833987	-0.6256124	-0.395619	
0.66258	-0.784088	-0.6239895	-0.3957497	
0.6641999	-0.7847747	-0.622363	-0.3958771	
0.66582	-0.7854589	-0.6207331	-0.3960011	
0.66744	-0.7861406	-0.6190998	-0.3961219	
0.66906	-0.7868198	-0.6174631	-0.3962393	
0.67068	-0.7874964	-0.6158228	-0.3963533	
0.6723	-0.7881707	-0.6141792	-0.3964641	
0.67392	-0.7888425	-0.6125321	-0.3965715	
0.67554	-0.7895119	-0.6108817	-0.3966756	
0.67716	-0.7901789	-0.6092278	-0.3967765	
0.67878	-0.7908435	-0.6075706	-0.396874	
0.6804	-0.7915058	-0.6059101	-0.3969682	
0.6820199	-0.7921656	-0.6042462	-0.3970591	
0.68364	-0.7928232	-0.602579	-0.3971466	
0.68526	-0.7934785	-0.6009085	-0.3972309	
0.68688	-0.7941315	-0.5992346	-0.3973119	
0.6885	-0.7947821	-0.5975575	-0.3973896	
0.69012	-0.7954305	-0.5958772	-0.3974639	
0.69174	-0.7960767	-0.5941935	-0.397535	
0.69336	-0.7967207	-0.5925067	-0.3976028	
0.69498	-0.7973625	-0.5908166	-0.3976673	
0.6966	-0.7980021	-0.5891233	-0.3977285	
0.69822	-0.7986395	-0.5874268	-0.3977864	
0.6998399	-0.7992747	-0.5857271	-0.397841	
0.7014599	-0.7999079	-0.5840243	-0.3978924	
0.70308	-0.800539	-0.5823183	-0.3979404	
0.7047	-0.8011679	-0.5806092	-0.3979852	
0.70632	-0.8017948	-0.5788969	-0.3980266	
0.70794	-0.8024196	-0.5771816	-0.3980648	
0.70956	-0.8030424	-0.5754632	-0.3980997	
0.71118	-0.8036631	-0.5737417	-0.3981313	
0.7128	-0.8042818	-0.5720171	-0.3981595	
0.71442	-0.8048986	-0.5702896	-0.3981845	
0.71604	-0.8055134	-0.5685589	-0.3982063	
0.71766	-0.8061263	-0.5668253	-0.3982247	
0.7192799	-0.8067372	-0.5650887	-0.3982398	
0.7209	-0.8073462	-0.5633491	-0.3982516	
0.72252	-0.8079534	-0.5616066	-0.3982601	
0.72414	-0.8085586	-0.5598611	-0.3982654	
0.72576	-0.809162	-0.5581127	-0.3982673	
0.72738	-0.8097635	-0.5563615	-0.3982659	
0.729	-0.8103632	-0.5546073	-0.3982612	
0.73062	-0.8109611	-0.5528502	-0.3982532	
0.73224	-0.8115572	-0.5510903	-0.3982419	
0.73386	-0.8121516	-0.5493276	-0.3982273	
0.73548	-0.8127441	-0.547562	-0.3982094	
0.7370999	-0.813335	-0.5457937	-0.3981882	
0.73872	-0.8139241	-0.5440226	-0.3981636	
0.74034	-0.8145115	-0.5422487	-0.3981358	
0.74196	-0.8150972	-0.540472	-0.3981045	
0.74358	-0.8156812	-0.5386926	-0.39807	
0.7452	-0.8162636	-0.5369105	-0.3980321	
0.74682	-0.8168443	-0.5351257	-0.3979909	
0.74844	-0.8174233	-0.5333382	-0.3979464	
0.75006	-0.8180008	-0.5315481	-0.3978985	
0.75168	-0.8185766	-0.5297554	-0.3978473	
0.7533	-0.8191509	-0.5279601	-0.3977927	
0.7549199	-0.8197236	-0.5261621	-0.3977347	
0.75654	-0.8202947	-0.5243616	-0.3976734	
0.75816	-0.8208643	-0.5225585	-0.3976088	
0.75978	-0.8214324	-0.5207528	-0.3975407	
0.7614	-0.8219989	-0.5189446	-0.3974693	
