TimeSlice	Time	adductorbrevis	bicepsfemorisposterior	flexordigitorumlongus	medialgastrocnemius	rectusfemoris	tensorfascialatae	tibialisanterior
171	0.09234	0	0	0.0321044	0.0264172	0.170927	0.276418	0
172	0.09288	0	0	0.031599	0.0255831	0.169967	0.276395	0
173	0.09342	0	0	0.0311216	0.0247576	0.169027	0.276374	0
174	0.09396	0	0	0.0306427	0.0239657	0.168106	0.276354	0
175	0.0945	0	0	0.0301909	0.023192	0.167203	0.276335	0
176	0.09504	0	0	0.0297369	0.0224468	0.166326	0.27632	0
177	0.09558	0	0	0.0293095	0.0217149	0.165456	0.2763	0
178	0.09612	0	0	0.0288792	0.0210068	0.164608	0.276285	0
179	0.09666	0	0	0.0284748	0.0203182	0.163777	0.276272	0
180	0.0972	0	0	0.0280813	0.0196522	0.162969	0.276257	0
181	0.09774	0	0	0.0276911	0.0190009	0.162171	0.276244	0
182	0.09828	0	0	0.0273113	0.0183675	0.161386	0.276231	0
183	0.09882	0	0	0.026949	0.0177515	0.160624	0.276219	0
184	0.09936	0	0	0.0265891	0.0171525	0.159881	0.276207	0
185	0.0999	0	0	0.0262533	0.0165771	0.159146	0.276197	0
186	0.10044	0	0	0.0259121	0.0160103	0.158425	0.276187	0
187	0.10098	0	0	0.0255872	0.0154627	0.157727	0.276177	0
188	0.10152	0	0	0.0252638	0.0149338	0.157043	0.276167	0
189	0.10206	0	0	0.0249562	0.0144193	0.156365	0.27616	0
190	0.1026	0	0	0.0246569	0.0139154	0.155705	0.27615	0
191	0.10314	0	0	0.0243656	0.0134325	0.155059	0.276144	0
192	0.10368	0	0	0.024082	0.0129592	0.154425	0.276136	0
193	0.10422	0	0	0.023806	0.0124917	0.153811	0.276129	0
194	0.10476	0	0	0.0235374	0.0120479	0.153203	0.276123	0
195	0.1053	0	0	0.0232831	0.0116161	0.152611	0.276117	0
196	0.10584	0	0	0.0230284	0.0111998	0.152027	0.276113	0
197	0.10638	0	0	0.0227877	0.0107913	0.151462	0.276106	0
198	0.10692	0	0	0.0225319	0.0103867	0.150902	0.276099	0
199	0.10746	0	0	0.0223044	0.010004	0.15036	0.276094	0
200	0.108	0	0	0.0220757	0.00962822	0.149822	0.27609	0
201	0.10854	0	0	0.0218676	0.00926985	0.149295	0.276086	0
202	0.10908	0	0	0.0216506	0.00890686	0.148785	0.276083	0
203	0.10962	0	0	0.0214465	0.00856818	0.148286	0.276078	0
204	0.11016	0	0	0.0212407	0.00823873	0.14779	0.276073	0
205	0.1107	0	0	0.0210475	0.00791107	0.147311	0.27607	0
206	0.11124	0	0	0.0208595	0.00759953	0.146842	0.276067	0
207	0.11178	0	0	0.0206692	0.00729648	0.146379	0.276063	0
208	0.11232	0	0	0.0204984	0.00699447	0.145929	0.276063	0
209	0.11286	0	0	0.0203177	0.00670787	0.145488	0.276059	0
210	0.1134	0	0	0.020149	0.00642547	0.145056	0.276055	0
211	0.11394	0	0	0.0199847	0.00616153	0.144629	0.276053	0
212	0.11448	0	0	0.019832	0.00589036	0.144218	0.27605	0
213	0.11502	0	0	0.0196761	0.00564454	0.143808	0.276049	0
214	0.11556	0	0	0.0195315	0.0053946	0.143413	0.276047	0
215	0.1161	0	0	0.0193764	0.00515143	0.143023	0.276046	0
216	0.11664	0	0	0.0192397	0.00492564	0.142645	0.276043	0
217	0.11718	0	0	0.0190994	0.00469156	0.142267	0.27604	0
218	0.11772	0	0	0.01897	0.00447461	0.141903	0.276038	0
219	0.11826	0	0	0.0188369	0.00425992	0.141547	0.276037	0
220	0.1188	0	0	0.0187072	0.00405463	0.141195	0.276035	0
221	0.11934	0	0	0.0185881	0.00385128	0.140854	0.276032	0
222	0.11988	0	0	0.0184721	0.0036534	0.140519	0.276032	0
223	0.12042	0	0	0.018352	0.00346446	0.140191	0.27603	0
224	0.12096	0	0	0.018235	0.00328419	0.139866	0.276028	0
225	0.1215	0	0	0.0181355	0.00310878	0.139555	0.276027	0
226	0.12204	0	0	0.0180242	0.00293809	0.139243	0.276025	0
227	0.12258	0	0	0.017923	0.00276477	0.138945	0.276023	0
228	0.12312	0	0	0.0178244	0.0026033	0.138649	0.276023	0
229	0.12366	0	0	0.0177284	0.00245335	0.138359	0.276022	0
230	0.1242	0	0	0.0176349	0.00229302	0.138078	0.27602	0
231	0.12474	0	0	0.0175438	0.00215138	0.1378	0.27602	0
