TimeSlice	Time	LH_BicepsFemorisPosterior	LH_TensorFasciaLatae	neur2	LH_BicepsFemorisPosterior
167	0.09018	0.0446774	99.7358	-0.058605	0.0159705
168	0.09072	0.0446774	99.7358	-0.0586096	0.0159705
169	0.09126	0.0446774	99.7358	-0.0586143	0.0159705
170	0.0918	0.0447021	99.7357	-0.0586189	0.0152668
171	0.09234	0.0447021	99.7357	-0.0586235	0.0152668
172	0.09288	0.0447021	99.7357	-0.0586282	0.0152668
173	0.09342	0.0447113	99.5939	-0.0586329	0.00567532
174	0.09396	0.0447113	99.5939	-0.0586375	0.00567532
175	0.0945	0.0447113	99.5939	-0.0586422	0.00567532
176	0.09504	0.0447368	99.5575	-0.0586469	0.0157313
177	0.09558	0.0447368	99.5575	-0.0586516	0.0157313
178	0.09612	0.0447368	99.5575	-0.0586563	0.0157313
179	0.09666	0.0447609	99.5574	-0.058661	0.0148575
180	0.0972	0.0447609	99.5574	-0.0586658	0.0148575
181	0.09774	0.0447609	99.5574	-0.0586705	0.0148575
182	0.09828	0.0447695	99.3789	-0.0586753	0.00533268
183	0.09882	0.0447695	99.3789	-0.05868	0.00533268
184	0.09936	0.0447695	99.3789	-0.0586848	0.00533268
185	0.0999	0.0447945	99.3347	-0.0586895	0.0154531
186	0.10044	0.0447945	99.3347	-0.0586943	0.0154531
187	0.10098	0.0447945	99.3347	-0.0586991	0.0154531
188	0.10152	0.0448178	99.3345	-0.0587039	0.0143907
189	0.10206	0.0448178	99.3345	-0.0587087	0.0143907
190	0.1026	0.0448178	99.3345	-0.0587135	0.0143907
191	0.10314	0.0448258	99.1199	-0.0587183	0.00490727
192	0.10368	0.0448258	99.1199	-0.0587231	0.00490727
193	0.10422	0.0448258	99.1199	-0.058728	0.00490727
194	0.10476	0.0448503	99.0681	-0.0587328	0.0151587
195	0.1053	0.0448503	99.0681	-0.0587376	0.0151587
196	0.10584	0.0448503	99.0681	-0.0587425	0.0151587
197	0.10638	0.0448729	99.0679	-0.0587473	0.0139284
198	0.10692	0.0448729	99.0679	-0.0587522	0.0139284
199	0.10746	0.0448729	99.0679	-0.0587571	0.0139284
200	0.108	0.0448802	98.8178	-0.0587619	0.00449564
201	0.10854	0.0448802	98.8178	-0.0587668	0.00449564
202	0.10908	0.0448802	98.8178	-0.0587717	0.00449564
203	0.10962	0.0449043	98.7588	-0.0587766	0.014869
204	0.11016	0.0449043	98.7588	-0.0587814	0.014869
205	0.1107	0.0449043	98.7588	-0.0587863	0.014869
206	0.11124	0.0449261	98.7586	-0.0587912	0.0134892
207	0.11178	0.0449261	98.7586	-0.0587961	0.0134892
208	0.11232	0.0449261	98.7586	-0.058801	0.0134892
209	0.11286	0.0449328	98.4737	-0.058806	0.00413001
210	0.1134	0.0449328	98.4737	-0.0588109	0.00413001
211	0.11394	0.0449328	98.4737	-0.0588158	0.00413001
212	0.11448	0.0449564	98.4078	-0.0588207	0.0145723
213	0.11502	0.0449564	98.4078	-0.0588256	0.0145723
214	0.11556	0.0449564	98.4078	-0.0588306	0.0145723
215	0.1161	0.0449776	98.4075	-0.0588355	0.0130569
216	0.11664	0.0449776	98.4075	-0.0588404	0.0130569
217	0.11718	0.0449776	98.4075	-0.0588454	0.0130569
218	0.11772	0.0449837	98.0889	-0.0588503	0.00378278
219	0.11826	0.0449837	98.0889	-0.0588553	0.00378278
220	0.1188	0.0449837	98.0889	-0.0588602	0.00378278
221	0.11934	0.0450068	98.0166	-0.0588651	0.0142596
222	0.11988	0.0450068	98.0166	-0.0588701	0.0142596
223	0.12042	0.0450068	98.0166	-0.0588751	0.0142596
224	0.12096	0.0450272	98.0163	-0.05888	0.0126062
225	0.1215	0.0450272	98.0163	-0.058885	0.0126062
226	0.12204	0.0450272	98.0163	-0.0588899	0.0126062
227	0.12258	0.0450328	97.6651	-0.0588949	0.00342635
228	0.12312	0.0450328	97.6651	-0.0588998	0.00342635
229	0.12366	0.0450328	97.6651	-0.0589048	0.00342635
230	0.1242	0.0450553	97.5867	-0.0589098	0.0139192
231	0.12474	0.0450553	97.5867	-0.0589147	0.0139192
232	0.12528	0.0450553	97.5867	-0.0589197	0.0139192
233	0.12582	0.045075	97.5864	-0.0589246	0.0121394
234	0.12636	0.045075	97.5864	-0.0589296	0.0121394
235	0.1269	0.045075	97.5864	-0.0589346	0.0121394
236	0.12744	0.0450799	97.2039	-0.0589395	0.00305382
237	0.12798	0.0450799	97.2039	-0.0589445	0.00305382
238	0.12852	0.0450799	97.2039	-0.0589495	0.00305382
239	0.12906	0.0451019	97.1201	-0.0589544	0.0135513
240	0.1296	0.0451019	97.1201	-0.0589594	0.0135513
241	0.13014	0.0451019	97.1201	-0.0589643	0.0135513
242	0.13068	0.0451208	97.1197	-0.0589693	0.0116611
243	0.13122	0.0451208	97.1197	-0.0589742	0.0116611
244	0.13176	0.0451208	97.1197	-0.0589792	0.0116611
245	0.1323	0.0451251	96.7076	-0.0589842	0.00266749
246	0.13284	0.0451251	96.7076	-0.0589891	0.00266749
247	0.13338	0.0451251	96.7076	-0.0589941	0.00266749
248	0.13392	0.0451464	96.619	-0.058999	0.0131512
249	0.13446	0.0451464	96.619	-0.059004	0.0131512
250	0.135	0.0451464	96.619	-0.0590089	0.0131512
251	0.13554	0.0451645	96.6186	-0.0590138	0.011169
252	0.13608	0.0451645	96.6186	-0.0590188	0.011169
253	0.13662	0.0451645	96.6186	-0.0590237	0.011169
254	0.13716	0.0451682	96.1789	-0.0590287	0.00227197
255	0.1377	0.0451682	96.1789	-0.0590336	0.00227197
256	0.13824	0.0451682	96.1789	-0.0590385	0.00227197
257	0.13878	0.0451888	96.0862	-0.0590434	0.0127166
258	0.13932	0.0451888	96.0862	-0.0590484	0.0127166
259	0.13986	0.0451888	96.0862	-0.0590533	0.0127166
260	0.1404	0.0452061	96.0858	-0.0590582	0.0106539
261	0.14094	0.0452061	96.0858	-0.0590631	0.0106539
262	0.14148	0.0452061	96.0858	-0.059068	0.0106539
263	0.14202	0.0452091	95.6207	-0.0590729	0.00186724
264	0.14256	0.0452091	95.6207	-0.0590778	0.00186724
265	0.1431	0.0452091	95.6207	-0.0590827	0.00186724
266	0.14364	0.0452289	95.5249	-0.0590876	0.0122268
267	0.14418	0.0452289	95.5249	-0.0590925	0.0122268
268	0.14472	0.0452289	95.5249	-0.0590973	0.0122268
269	0.14526	0.0452453	95.5244	-0.0591022	0.0101089
270	0.1458	0.0452453	95.5244	-0.0591071	0.0101089
271	0.14634	0.0452453	95.5244	-0.0591119	0.0101089
272	0.14688	0.0452476	95.0369	-0.0591168	0.00142343
273	0.14742	0.0452476	95.0369	-0.0591216	0.00142343
274	0.14796	0.0452476	95.0369	-0.0591265	0.00142343
275	0.1485	0.0452665	94.9391	-0.0591313	0.0116795
276	0.14904	0.0452665	94.9391	-0.0591362	0.0116795
277	0.14958	0.0452665	94.9391	-0.059141	0.0116795
278	0.15012	0.0452819	94.9386	-0.0591458	0.00951789
279	0.15066	0.0452819	94.9386	-0.0591506	0.00951789
280	0.1512	0.0452819	94.9386	-0.0591554	0.00951789
281	0.15174	0.0452834	94.4321	-0.0591602	0.000949719
282	0.15228	0.0452834	94.4321	-0.059165	0.000949719
283	0.15282	0.0452834	94.4321	-0.0591698	0.000949719
284	0.15336	0.0453013	94.3336	-0.0591746	0.0110517
285	0.1539	0.0453013	94.3336	-0.0591793	0.0110517
286	0.15444	0.0453013	94.3336	-0.0591841	0.0110517
287	0.15498	0.0453157	94.3331	-0.0591888	0.00887861
288	0.15552	0.0453157	94.3331	-0.0591936	0.00887861
289	0.15606	0.0453157	94.3331	-0.0591983	0.00887861
290	0.1566	0.0453164	93.8119	-0.0592031	0.000423119
291	0.15714	0.0453164	93.8119	-0.0592078	0.000423119
292	0.15768	0.0453164	93.8119	-0.0592125	0.000423119
293	0.15822	0.0453332	93.7143	-0.0592172	0.0103411
294	0.15876	0.0453332	93.7143	-0.0592219	0.0103411
295	0.1593	0.0453332	93.7143	-0.0592266	0.0103411
296	0.15984	0.0453464	93.7137	-0.0592312	0.00817954
297	0.16038	0.0453464	93.7137	-0.0592359	0.00817954
298	0.16092	0.0453464	93.7137	-0.0592406	0.00817954
299	0.16146	0.0453462	93.1828	-0.0592452	-0.000154071
300	0.162	0.0453462	93.1828	-0.0592499	-0.000154071
301	0.16254	0.0453462	93.1828	-0.0592545	-0.000154071
302	0.16308	0.0453616	93.0881	-0.0592591	0.00951329
303	0.16362	0.0453616	93.0881	-0.0592637	0.00951329
304	0.16416	0.0453616	93.0881	-0.0592683	0.00951329
305	0.1647	0.0453736	93.0875	-0.0592729	0.00741839
306	0.16524	0.0453736	93.0875	-0.0592775	0.00741839
307	0.16578	0.0453736	93.0875	-0.059282	0.00741839
308	0.16632	0.0453723	92.553	-0.0592866	-0.000800248
309	0.16686	0.0453723	92.553	-0.0592911	-0.000800248
310	0.1674	0.0453723	92.553	-0.0592957	-0.000800248
311	0.16794	0.0453862	92.4633	-0.0593002	0.00857277
312	0.16848	0.0453862	92.4633	-0.0593047	0.00857277
313	0.16902	0.0453862	92.4633	-0.0593092	0.00857277
314	0.16956	0.0453968	92.4627	-0.0593137	0.00657675
315	0.1701	0.0453968	92.4627	-0.0593182	0.00657675
316	0.17064	0.0453968	92.4627	-0.0593226	0.00657675
317	0.17118	0.0453944	91.9315	-0.0593271	-0.00150851
318	0.17172	0.0453944	91.9315	-0.0593315	-0.00150851
319	0.17226	0.0453944	91.9315	-0.0593359	-0.00150851
320	0.1728	0.0454065	91.8494	-0.0593403	0.00749657
321	0.17334	0.0454065	91.8494	-0.0593447	0.00749657
322	0.17388	0.0454065	91.8494	-0.0593491	0.00749657
323	0.17442	0.0454157	91.8488	-0.0593535	0.00565692
324	0.17496	0.0454157	91.8488	-0.0593579	0.00565692
325	0.1755	0.0454157	91.8488	-0.0593622	0.00565692
326	0.17604	0.045412	91.3288	-0.0593665	-0.00229036
327	0.17658	0.045412	91.3288	-0.0593709	-0.00229036
328	0.17712	0.045412	91.3288	-0.0593752	-0.00229036
329	0.17766	0.0454222	91.2566	-0.0593795	0.0063008
330	0.1782	0.0454222	91.2566	-0.0593837	0.0063008
331	0.17874	0.0454222	91.2566	-0.059388	0.0063008
332	0.17928	0.04543	91.256	-0.0593923	0.00479229
333	0.17982	0.04543	91.256	-0.0593965	0.00479229
334	0.18036	0.04543	91.256	-0.0594007	0.00479229
335	0.1809	0.0454278	90.7619	-0.0594049	-0.00132455
336	0.18144	0.0454278	90.7619	-0.0594091	-0.00132455
337	0.18198	0.0454278	90.7619	-0.0594133	-0.00132455
338	0.18252	0.0454345	90.7124	-0.0594175	0.00411162
339	0.18306	0.0454345	90.7124	-0.0594216	0.00411162
340	0.1836	0.0454345	90.7124	-0.0594258	0.00411162
341	0.18414	0.0454387	90.7118	-0.0594299	0.00259161
342	0.18468	0.0454387	90.7118	-0.059434	0.00259161
343	0.18522	0.0454387	90.7118	-0.0594381	0.00259161
344	0.18576	0.0454454	90.2827	-0.0594421	0.00414151
345	0.1863	0.0454454	90.2827	-0.0594462	0.00414151
346	0.18684	0.0454454	90.2827	-0.0594502	0.00414151
347	0.18738	0.0454451	90.282	-0.0594543	-0.000160969
348	0.18792	0.0454451	90.282	-0.0594583	-0.000160969
349	0.18846	0.0454451	90.282	-0.0594623	-0.000160969
350	0.189	0.0454433	89.8872	-0.0594662	-0.00116128
351	0.18954	0.0454433	89.8872	-0.0594702	-0.00116128
352	0.19008	0.0454433	89.8872	-0.0594741	-0.00116128
353	0.19062	0.045443	89.8866	-0.0594781	-0.00015637
354	0.19116	0.045443	89.8866	-0.059482	-0.00015637
355	0.1917	0.045443	89.8866	-0.0594859	-0.00015637
356	0.19224	0.0454454	89.5289	-0.0594897	0.00150621
357	0.19278	0.0454454	89.5289	-0.0594936	0.00150621
358	0.19332	0.0454454	89.5289	-0.0594974	0.00150621
359	0.19386	0.0454452	89.5282	-0.0595013	-0.00015637
360	0.1944	0.0454452	89.5282	-0.0595051	-0.00015637
361	0.19494	0.0454452	89.5282	-0.0595089	-0.00015637
362	0.19548	0.0454515	89.2075	-0.0595126	0.00391845
363	0.19602	0.0454515	89.2075	-0.0595164	0.00391845
364	0.19656	0.0454515	89.2075	-0.0595201	0.00391845
365	0.1971	0.0454513	89.2068	-0.0595238	-0.000147172
