TimeSlice	Time	Ib Sensor (Tension)	ml Sensor Length
637	0.34398	2.11431	0.0777656
638	0.34452	2.11299	0.0777656
639	0.34506	2.11167	0.0777656
640	0.3456	2.11036	0.0777655
641	0.34614	2.10906	0.0777655
642	0.34668	2.10778	0.0777655
643	0.34722	2.1065	0.0777655
644	0.34776	2.10523	0.0777655
645	0.3483	2.10396	0.0777655
646	0.34884	2.1027	0.0777655
647	0.34938	2.10145	0.0777655
648	0.34992	2.1002	0.0777655
649	0.35046	2.09896	0.0777655
650	0.351	2.09773	0.0777655
651	0.35154	2.09651	0.0777655
652	0.35208	2.09529	0.0777655
653	0.35262	2.09409	0.0777655
654	0.35316	2.09289	0.0777655
655	0.3537	2.0917	0.0777655
656	0.35424	2.09051	0.0777655
657	0.35478	2.08933	0.0777655
658	0.35532	2.08816	0.0777655
659	0.35586	2.08699	0.0777655
660	0.3564	2.08583	0.0777655
661	0.35694	2.08468	0.0777655
662	0.35748	2.08353	0.0777655
663	0.35802	2.08239	0.0777655
664	0.35856	2.08126	0.0777655
665	0.3591	2.08013	0.0777655
666	0.35964	2.07902	0.0777655
667	0.36018	2.07791	0.0777655
668	0.36072	2.0768	0.0777655
669	0.36126	2.07571	0.0777655
670	0.3618	2.07462	0.0777655
671	0.36234	2.07353	0.0777655
672	0.36288	2.07245	0.0777655
673	0.36342	2.07138	0.0777655
674	0.36396	2.07031	0.0777655
675	0.3645	2.06925	0.0777655
676	0.36504	2.0682	0.0777655
677	0.36558	2.06715	0.0777655
678	0.36612	2.06611	0.0777655
679	0.36666	2.06507	0.0777655
680	0.3672	2.06405	0.0777655
681	0.36774	2.06303	0.0777655
682	0.36828	2.06201	0.0777655
683	0.36882	2.061	0.0777654
684	0.36936	2.05999	0.0777654
685	0.3699	2.059	0.0777654
686	0.37044	2.05801	0.0777654
687	0.37098	2.05702	0.0777654
688	0.37152	2.05605	0.0777654
689	0.37206	2.05507	0.0777654
690	0.3726	2.0541	0.0777654
691	0.37314	2.05313	0.0777654
692	0.37368	2.05217	0.0777654
693	0.37422	2.05122	0.0777654
694	0.37476	2.05027	0.0777654
695	0.3753	2.04934	0.0777654
696	0.37584	2.0484	0.0777654
697	0.37638	2.04747	0.0777654
698	0.37692	2.04655	0.0777654
699	0.37746	2.04563	0.0777654
700	0.378	2.04472	0.0777654
701	0.37854	2.04381	0.0777654
702	0.37908	2.04291	0.0777654
703	0.37962	2.04201	0.0777654
704	0.38016	2.04112	0.0777654
705	0.3807	2.04023	0.0777654
706	0.38124	2.03935	0.0777654
707	0.38178	2.03848	0.0777654
708	0.38232	2.03761	0.0777654
709	0.38286	2.03674	0.0777654
710	0.3834	2.03588	0.0777654
711	0.38394	2.03503	0.0777654
712	0.38448	2.03418	0.0777654
713	0.38502	2.03334	0.0777654
714	0.38556	2.0325	0.0777654
715	0.3861	2.03167	0.0777654
716	0.38664	2.03083	0.0777654
717	0.38718	2.03001	0.0777654
718	0.38772	2.02919	0.0777654
719	0.38826	2.02838	0.0777654
720	0.3888	2.02757	0.0777654
721	0.38934	2.02677	0.0777654
722	0.38988	2.02597	0.0777654
723	0.39042	2.02517	0.0777654
724	0.39096	2.02437	0.0777654
725	0.3915	2.02358	0.0777654
726	0.39204	2.0228	0.0777654
727	0.39258	2.02203	0.0777654
728	0.39312	2.02126	0.0777654
729	0.39366	2.02049	0.0777654
730	0.3942	2.01973	0.0777654
731	0.39474	2.01897	0.0777654
732	0.39528	2.01822	0.0777654
733	0.39582	2.01746	0.0777654
734	0.39636	2.01671	0.0777654
735	0.3969	2.01597	0.0777654
736	0.39744	2.01524	0.0777654
737	0.39798	2.01451	0.0777654
738	0.39852	2.01378	0.0777654
739	0.39906	2.01306	0.0777654
740	0.3996	2.01234	0.0777654
741	0.40014	2.01163	0.0777653
742	0.40068	2.01091	0.0777653
743	0.40122	2.01021	0.0777653
744	0.40176	2.00951	0.0777653
745	0.4023	2.00881	0.0777653
746	0.40284	2.00812	0.0777653
747	0.40338	2.00743	0.0777653
748	0.40392	2.00675	0.0777653
749	0.40446	2.00606	0.0777653
750	0.405	2.00539	0.0777653
751	0.40554	2.00471	0.0777653
752	0.40608	2.00405	0.0777653
753	0.40662	2.00338	0.0777653
754	0.40716	2.00272	0.0777653
755	0.4077	2.00207	0.0777653
756	0.40824	2.00142	0.0777653
757	0.40878	2.00076	0.0777653
758	0.40932	2.00012	0.0777653
759	0.40986	1.99947	0.0777653
760	0.4104	1.99883	0.0777653
761	0.41094	1.9982	0.0777653
762	0.41148	1.99757	0.0777653
763	0.41202	1.99694	0.0777653
764	0.41256	1.99632	0.0777653
765	0.4131	1.9957	0.0777653
766	0.41364	1.99508	0.0777653
767	0.41418	1.99447	0.0777653
768	0.41472	1.99386	0.0777653
769	0.41526	1.99326	0.0777653
770	0.4158	1.99266	0.0777653
771	0.41634	1.99206	0.0777653
772	0.41688	1.99147	0.0777653
773	0.41742	1.99088	0.0777653
774	0.41796	1.99029	0.0777653
775	0.4185	1.98971	0.0777653
776	0.41904	1.98913	0.0777653
