TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
87	0.04698	0	0	0	0.0963787	0.399017	0	0	0	0.133266	0.128062	0.0507011
88	0.04752	0	0	0	0.0954792	0.393924	0	0	0	0.131399	0.126016	0.049873
89	0.04806	0	0	0	0.0946143	0.388906	0	0	0	0.129564	0.124007	0.0490673
90	0.0486	0	0	0	0.093783	0.38396	0	0	0	0.127759	0.122034	0.0482956
91	0.04914	0	0	0	0.0929818	0.379097	0	0	0	0.125984	0.1201	0.0475527
92	0.04968	0	0	0	0.0922116	0.374311	0	0	0	0.124242	0.118202	0.0468358
93	0.05022	0	0	0	0.0914701	0.369598	0	0	0	0.122526	0.116342	0.0461436
94	0.05076	0	0	0	0.0907575	0.364964	0	0	0	0.120838	0.114517	0.0454734
95	0.0513	0	0	0	0.0900707	0.360407	0	0	0	0.119184	0.112728	0.0448314
96	0.05184	0	0	0	0.0894118	0.355921	0	0	0	0.11756	0.110975	0.0442146
97	0.05238	0	0	0	0.0887787	0.351512	0	0	0	0.115963	0.109255	0.0436183
98	0.05292	0	0	0	0.0881681	0.347177	0	0	0	0.114393	0.10757	0.0430398
99	0.05346	0	0	0	0.0875822	0.342912	0	0	0	0.11285	0.10592	0.0424838
100	0.054	0	0	0	0.0870195	0.338725	0	0	0	0.111339	0.104304	0.0419512
101	0.05454	0	0	0	0.0864792	0.334608	0	0	0	0.109857	0.102719	0.0414391
102	0.05508	0	0	0	0.0859611	0.330558	0	0	0	0.108396	0.101164	0.040943
103	0.05562	0	0	0	0.0854636	0.326582	0	0	0	0.106966	0.0996466	0.040466
104	0.05616	0	0	0	0.0849852	0.322679	0	0	0	0.105566	0.0981593	0.0400089
105	0.0567	0	0	0	0.0845245	0.318843	0	0	0	0.104187	0.0966976	0.0395656
106	0.05724	0	0	0	0.0840819	0.315074	0	0	0	0.102835	0.0952681	0.039139
107	0.05778	0	0	0	0.0836584	0.311374	0	0	0	0.101508	0.0938736	0.038732
108	0.05832	0	0	0	0.0832517	0.307739	0	0	0	0.100207	0.0925063	0.0383385
109	0.05886	0	0	0	0.0828608	0.304169	0	0	0	0.0989316	0.0911653	0.0379614
110	0.0594	0	0	0	0.0824869	0.300665	0	0	0	0.097678	0.0898574	0.0375982
111	0.05994	0	0	0	0.0821285	0.297223	0	0	0	0.0964511	0.088578	0.0372484
112	0.06048	0	0	0	0.0817845	0.29385	0	0	0	0.0952503	0.0873248	0.0369149
113	0.06102	0	0	0	0.0814546	0.290541	0	0	0	0.0940716	0.0861008	0.0365864
114	0.06156	0	0	0	0.0811371	0.287285	0	0	0	0.0929145	0.0848962	0.0362715
115	0.0621	0	0	0	0.0808333	0.284094	0	0	0	0.0917775	0.0837178	0.0359715
116	0.06264	0	0	0	0.0805425	0.280965	0	0	0	0.0906646	0.0825704	0.035684
117	0.06318	0	0	0	0.0802644	0.277888	0	0	0	0.0895765	0.081446	0.0354084
118	0.06372	0	0	0	0.0799984	0.274871	0	0	0	0.0885093	0.0803442	0.0351425
119	0.06426	0	0	0	0.0797427	0.271912	0	0	0	0.0874612	0.0792697	0.0348876
120	0.0648	0	0	0	0.079497	0.26901	0	0	0	0.0864366	0.0782202	0.0346415
121	0.06534	0	0	0	0.0792618	0.266162	0	0	0	0.0854304	0.0771915	0.0344055
122	0.06588	0	0	0	0.0790361	0.26337	0	0	0	0.0844443	0.0761884	0.0341757
123	0.06642	0	0	0	0.078819	0.26063	0	0	0	0.0834792	0.075205	0.0339555
124	0.06696	0	0	0	0.0786114	0.25794	0	0	0	0.0825334	0.0742408	0.0337479
125	0.0675	0	0	0	0.0784129	0.255306	0	0	0	0.0816077	0.0733008	0.033547
126	0.06804	0	0	0	0.0782247	0.252721	0	0	0	0.0806994	0.0723808	0.0333545
127	0.06858	0	0	0	0.0780437	0.250186	0	0	0	0.0798103	0.0714822	0.033168
128	0.06912	0	0	0	0.0778686	0.247703	0	0	0	0.078939	0.0706061	0.0329893
129	0.06966	0	0	0	0.0777027	0.245268	0	0	0	0.0780861	0.0697486	0.0328233
130	0.0702	0	0	0	0.0775433	0.24288	0	0	0	0.0772502	0.0689128	0.0326587
131	0.07074	0	0	0	0.07739	0.240536	0	0	0	0.0764285	0.0680909	0.0324991
132	0.07128	0	0	0	0.077244	0.238239	0	0	0	0.0756266	0.067288	0.0323477
133	0.07182	0	0	0	0.077103	0.235987	0	0	0	0.0748405	0.0665056	0.0322044
134	0.07236	0	0	0	0.0769694	0.233779	0	0	0	0.0740711	0.0657431	0.032067
135	0.0729	0	0	0	0.0768412	0.231616	0	0	0	0.073318	0.0649964	0.0319315
136	0.07344	0	0	0	0.0767181	0.229493	0	0	0	0.0725797	0.0642634	0.0317997
137	0.07398	0	0	0	0.0766025	0.227414	0	0	0	0.0718594	0.063551	0.0316751
138	0.07452	0	0	0	0.0764917	0.225376	0	0	0	0.0711508	0.0628532	0.0315592
139	0.07506	0	0	0	0.0763842	0.223377	0	0	0	0.0704573	0.062168	0.0314462
140	0.0756	0	0	0	0.0762803	0.221421	0	0	0	0.0697796	0.0615023	0.0313377
141	0.07614	0	0	0	0.0761824	0.219503	0	0	0	0.0691163	0.0608555	0.0312337
142	0.07668	0	0	0	0.0760886	0.217622	0	0	0	0.068467	0.0602202	0.0311338
143	0.07722	0	0	0	0.0759985	0.215779	0	0	0	0.0678279	0.0595976	0.0310379
144	0.07776	0	0	0	0.0759129	0.213973	0	0	0	0.0672036	0.0589913	0.0309496
145	0.0783	0	0	0	0.0758316	0.212201	0	0	0	0.0665959	0.0584044	0.0308665
146	0.07884	0	0	0	0.0757539	0.210467	0	0	0	0.0659988	0.0578311	0.0307778
147	0.07938	0	0	0	0.0756778	0.208767	0	0	0	0.0654132	0.0572638	0.0306944
148	0.07992	0	0	0	0.075606	0.2071	0	0	0	0.0648411	0.0567078	0.0306197
149	0.08046	0	0	0	0.0755373	0.205468	0	0	0	0.0642811	0.05617	0.0305463
150	0.081	0	0	0	0.0754711	0.203872	0	0	0	0.063734	0.0556483	0.0304721
151	0.08154	0	0	0	0.0754073	0.202303	0	0	0	0.0631963	0.0551331	0.0304045
152	0.08208	0	0	0	0.0753494	0.200765	0	0	0	0.062671	0.0546299	0.0303431
153	0.08262	0	0	0	0.0752944	0.199263	0	0	0	0.0621592	0.0541419	0.0302805
154	0.08316	0	0	0	0.0752389	0.197789	0	0	0	0.0616547	0.0536669	0.0302204
155	0.0837	0	0	0	0.0751863	0.196344	0	0	0	0.0611597	0.0531975	0.0301609
156	0.08424	0	0	0	0.0751353	0.194928	0	0	0	0.0606775	0.0527371	0.0301073
157	0.08478	0	0	0	0.0750869	0.193544	0	0	0	0.0602078	0.0522927	0.0300557
158	0.08532	0	0	0	0.0750409	0.192185	0	0	0	0.0597457	0.0518568	0.0300044
159	0.08586	0	0	0	0.074999	0.190852	0	0	0	0.059291	0.0514363	0.0299587
160	0.0864	0	0	0	0.0749583	0.18955	0	0	0	0.0588482	0.0510255	0.0299129
161	0.08694	0	0	0	0.0749173	0.188276	0	0	0	0.0584159	0.0506187	0.0298688
162	0.08748	0	0	0	0.0748789	0.187028	0	0	0	0.0579928	0.0502231	0.0298265
163	0.08802	0	0	0	0.0748432	0.1858	0	0	0	0.0575785	0.0498384	0.0297893
164	0.08856	0	0	0	0.0748084	0.184597	0	0	0	0.0571753	0.0494625	0.0297536
165	0.0891	0	0	0	0.0747745	0.183424	0	0	0	0.0567795	0.0490953	0.0297156
166	0.08964	0	0	0	0.0747422	0.182273	0	0	0	0.0563908	0.0487348	0.0296808
167	0.09018	0	0	0	0.0747129	0.181145	0	0	0	0.0560103	0.0483879	0.0296473
168	0.09072	0	0	0	0.0746851	0.180042	0	0	0	0.0556367	0.048049	0.0296151
169	0.09126	0	0	0	0.0746564	0.178958	0	0	0	0.0552745	0.0477107	0.0295822
170	0.0918	0	0	0	0.0746304	0.177894	0	0	0	0.0549187	0.0473855	0.0295524
171	0.09234	0	0	0	0.0746058	0.176856	0	0	0	0.0545692	0.0470714	0.0295272
172	0.09288	0	0	0	0.074581	0.17584	0	0	0	0.0542283	0.0467591	0.029503
173	0.09342	0	0	0	0.0745588	0.174843	0	0	0	0.0538979	0.0464522	0.0294796
