TimeSlice	Time	neur39	neur40	neur41	neur42	neur43	neur44
98	0.0196	-0.0568826	-0.0495034	-0.0595267	-0.0596896	-0.0599808	-0.0598859
99	0.0198	-0.0568838	-0.0495006	-0.0595254	-0.0596892	-0.0599806	-0.0598866
100	0.02	-0.0568851	-0.0494981	-0.0595241	-0.0596888	-0.0599804	-0.0598874
101	0.0202	-0.0568865	-0.049496	-0.0595229	-0.0596885	-0.0599802	-0.0598881
102	0.0204	-0.056888	-0.0494941	-0.0595216	-0.0596881	-0.05998	-0.0598889
103	0.0206	-0.0568896	-0.0494925	-0.0595204	-0.0596877	-0.0599798	-0.0598897
104	0.0208	-0.0568913	-0.0494913	-0.0595191	-0.0596873	-0.0599795	-0.0598904
105	0.021	-0.0568931	-0.0494903	-0.0595179	-0.0596869	-0.0599792	-0.0598912
106	0.0212	-0.056895	-0.0494895	-0.0595167	-0.0596865	-0.059979	-0.059892
107	0.0214	-0.056897	-0.0494891	-0.0595155	-0.0596861	-0.0599786	-0.0598927
108	0.0216	-0.0568991	-0.0494888	-0.0595143	-0.0596856	-0.0599783	-0.0598935
109	0.0218	-0.0569012	-0.0494889	-0.0595131	-0.0596852	-0.059978	-0.0598943
110	0.022	-0.0569035	-0.0494891	-0.0595119	-0.0596847	-0.0599776	-0.0598951
111	0.0222	-0.0569058	-0.0494896	-0.0595108	-0.0596843	-0.0599772	-0.0598959
112	0.0224	-0.0569082	-0.0494902	-0.0595096	-0.0596838	-0.0599768	-0.0598966
113	0.0226	-0.0569107	-0.0494911	-0.0595085	-0.0596833	-0.0599763	-0.0598974
114	0.0228	-0.0569132	-0.0494922	-0.0595073	-0.0596828	-0.0599759	-0.0598982
115	0.023	-0.0569158	-0.0494934	-0.0595062	-0.0596823	-0.0599754	-0.059899
116	0.0232	-0.0569185	-0.0494948	-0.059505	-0.0596818	-0.0599749	-0.0598998
117	0.0234	-0.0569212	-0.0494964	-0.0595039	-0.0596813	-0.0599744	-0.0599006
