TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
238	0.12852	-0.497365	-0.195491	-0.942612
239	0.12906	-0.497476	-0.195719	-0.942492
240	0.1296	-0.497588	-0.195948	-0.942372
241	0.13014	-0.497701	-0.196178	-0.942252
242	0.13068	-0.497815	-0.196408	-0.942131
243	0.13122	-0.497931	-0.196638	-0.94201
244	0.13176	-0.498047	-0.196869	-0.941889
245	0.1323	-0.498164	-0.1971	-0.941767
246	0.13284	-0.498282	-0.197332	-0.941645
247	0.13338	-0.498402	-0.197564	-0.941522
248	0.13392	-0.498522	-0.197797	-0.941399
249	0.13446	-0.498643	-0.198031	-0.941276
250	0.135	-0.498766	-0.198264	-0.941153
251	0.13554	-0.498889	-0.198499	-0.941029
252	0.13608	-0.499014	-0.198734	-0.940904
253	0.13662	-0.499139	-0.198969	-0.94078
254	0.13716	-0.499266	-0.199205	-0.940655
255	0.1377	-0.499393	-0.199441	-0.940529
256	0.13824	-0.499522	-0.199677	-0.940404
257	0.13878	-0.499651	-0.199915	-0.940278
258	0.13932	-0.499782	-0.200152	-0.940151
259	0.13986	-0.499914	-0.20039	-0.940025
260	0.1404	-0.500046	-0.200629	-0.939897
261	0.14094	-0.50018	-0.200868	-0.93977
262	0.14148	-0.500314	-0.201107	-0.939642
263	0.14202	-0.50045	-0.201347	-0.939514
264	0.14256	-0.500587	-0.201588	-0.939385
265	0.1431	-0.500724	-0.201828	-0.939256
266	0.14364	-0.500863	-0.20207	-0.939127
267	0.14418	-0.501003	-0.202311	-0.938998
268	0.14472	-0.501143	-0.202554	-0.938868
269	0.14526	-0.501285	-0.202796	-0.938737
270	0.1458	-0.501428	-0.203039	-0.938607
271	0.14634	-0.501571	-0.203283	-0.938476
272	0.14688	-0.501716	-0.203527	-0.938344
273	0.14742	-0.501862	-0.203771	-0.938212
274	0.14796	-0.502008	-0.204016	-0.93808
275	0.1485	-0.502156	-0.204261	-0.937948
276	0.14904	-0.502305	-0.204507	-0.937815
277	0.14958	-0.502454	-0.204753	-0.937682
278	0.15012	-0.502605	-0.204999	-0.937548
279	0.15066	-0.502756	-0.205246	-0.937414
280	0.1512	-0.502909	-0.205494	-0.93728
281	0.15174	-0.503063	-0.205741	-0.937145
282	0.15228	-0.503217	-0.205989	-0.93701
283	0.15282	-0.503372	-0.206238	-0.936875
284	0.15336	-0.503529	-0.206487	-0.936739
285	0.1539	-0.503686	-0.206736	-0.936603
286	0.15444	-0.503845	-0.206986	-0.936467
287	0.15498	-0.504004	-0.207236	-0.93633
288	0.15552	-0.504164	-0.207487	-0.936193
289	0.15606	-0.504326	-0.207738	-0.936055
290	0.1566	-0.504488	-0.207989	-0.935917
291	0.15714	-0.504651	-0.208241	-0.935779
292	0.15768	-0.504815	-0.208493	-0.935641
293	0.15822	-0.50498	-0.208746	-0.935502
294	0.15876	-0.505147	-0.208999	-0.935362
295	0.1593	-0.505314	-0.209252	-0.935223
296	0.15984	-0.505482	-0.209506	-0.935082
297	0.16038	-0.50565	-0.20976	-0.934942
298	0.16092	-0.50582	-0.210015	-0.934801
299	0.16146	-0.505991	-0.210269	-0.93466
300	0.162	-0.506163	-0.210525	-0.934518
301	0.16254	-0.506336	-0.21078	-0.934377
302	0.16308	-0.506509	-0.211036	-0.934234
303	0.16362	-0.506684	-0.211293	-0.934092
304	0.16416	-0.506859	-0.211549	-0.933949
305	0.1647	-0.507036	-0.211806	-0.933805
306	0.16524	-0.507213	-0.212064	-0.933662
307	0.16578	-0.507392	-0.212322	-0.933518
308	0.16632	-0.507571	-0.21258	-0.933373
309	0.16686	-0.507751	-0.212838	-0.933228
310	0.1674	-0.507932	-0.213097	-0.933083
311	0.16794	-0.508114	-0.213356	-0.932937
312	0.16848	-0.508297	-0.213616	-0.932791
313	0.16902	-0.508481	-0.213876	-0.932645
314	0.16956	-0.508666	-0.214136	-0.932499
315	0.1701	-0.508851	-0.214397	-0.932351
316	0.17064	-0.509038	-0.214657	-0.932204
317	0.17118	-0.509225	-0.214919	-0.932056
318	0.17172	-0.509414	-0.21518	-0.931908
319	0.17226	-0.509603	-0.215442	-0.93176
320	0.1728	-0.509793	-0.215704	-0.931611
321	0.17334	-0.509984	-0.215967	-0.931461
322	0.17388	-0.510176	-0.21623	-0.931312
323	0.17442	-0.510369	-0.216493	-0.931162
324	0.17496	-0.510563	-0.216757	-0.931011
325	0.1755	-0.510758	-0.217021	-0.930861
326	0.17604	-0.510953	-0.217285	-0.93071
327	0.17658	-0.51115	-0.217549	-0.930558
328	0.17712	-0.511347	-0.217814	-0.930406
329	0.17766	-0.511546	-0.218079	-0.930254
330	0.1782	-0.511745	-0.218345	-0.930101
331	0.17874	-0.511945	-0.21861	-0.929948
332	0.17928	-0.512146	-0.218876	-0.929795
333	0.17982	-0.512347	-0.219143	-0.929641
334	0.18036	-0.51255	-0.219409	-0.929487
335	0.1809	-0.512754	-0.219676	-0.929333
336	0.18144	-0.512958	-0.219943	-0.929178
337	0.18198	-0.513163	-0.220211	-0.929023
338	0.18252	-0.513369	-0.220479	-0.928867
339	0.18306	-0.513576	-0.220747	-0.928711
340	0.1836	-0.513784	-0.221015	-0.928555
341	0.18414	-0.513993	-0.221284	-0.928398
342	0.18468	-0.514203	-0.221553	-0.928241
343	0.18522	-0.514413	-0.221822	-0.928083
344	0.18576	-0.514624	-0.222091	-0.927925
345	0.1863	-0.514836	-0.222361	-0.927767
346	0.18684	-0.515049	-0.222631	-0.927609
347	0.18738	-0.515263	-0.222901	-0.92745
348	0.18792	-0.515478	-0.223172	-0.92729
349	0.18846	-0.515694	-0.223443	-0.92713
350	0.189	-0.51591	-0.223714	-0.92697
351	0.18954	-0.516127	-0.223985	-0.92681
352	0.19008	-0.516345	-0.224257	-0.926649
353	0.19062	-0.516564	-0.224529	-0.926488
354	0.19116	-0.516784	-0.224801	-0.926326
355	0.1917	-0.517004	-0.225073	-0.926164
356	0.19224	-0.517226	-0.225346	-0.926002
357	0.19278	-0.517448	-0.225619	-0.925839
358	0.19332	-0.517671	-0.225892	-0.925676
359	0.19386	-0.517895	-0.226165	-0.925512
360	0.1944	-0.51812	-0.226439	-0.925348
361	0.19494	-0.518345	-0.226713	-0.925184
362	0.19548	-0.518571	-0.226987	-0.925019
363	0.19602	-0.518798	-0.227261	-0.924854
364	0.19656	-0.519026	-0.227536	-0.924689
365	0.1971	-0.519255	-0.22781	-0.924523
366	0.19764	-0.519485	-0.228085	-0.924357
367	0.19818	-0.519715	-0.228361	-0.92419
368	0.19872	-0.519946	-0.228636	-0.924023
369	0.19926	-0.520178	-0.228912	-0.923856
370	0.1998	-0.520411	-0.229188	-0.923688
371	0.20034	-0.520644	-0.229464	-0.92352
372	0.20088	-0.520879	-0.22974	-0.923351
373	0.20142	-0.521114	-0.230016	-0.923182
